A,Coef.(Intercept),Coef.DiagnosisFactorBipolar,Coef.DiagnosisFactorDepression,Coef.DiagnosisFactorSchizophrenia,Coef.BrainpH,Coef.RNADegradPerSample,Coef.RateofDeathFactorOn respirator,Coef.RateofDeathFactorPossible anoxia,t.(Intercept),t.DiagnosisFactorBipolar,t.DiagnosisFactorDepression,t.DiagnosisFactorSchizophrenia,t.BrainpH,t.RNADegradPerSample,t.RateofDeathFactorOn respirator,t.RateofDeathFactorPossible anoxia,p.value.(Intercept),p.value.DiagnosisFactorBipolar,p.value.DiagnosisFactorDepression,p.value.DiagnosisFactorSchizophrenia,p.value.BrainpH,p.value.RNADegradPerSample,p.value.RateofDeathFactorOn respirator,p.value.RateofDeathFactorPossible anoxia,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorBipolar,p.value.adj.DiagnosisFactorDepression,p.value.adj.DiagnosisFactorSchizophrenia,p.value.adj.BrainpH,p.value.adj.RNADegradPerSample,p.value.adj.RateofDeathFactorOn respirator,p.value.adj.RateofDeathFactorPossible anoxia,F,F.p.value
4.107709599,2.947337198,0.023179427,0.01519022,0.038461435,0.219225643,-0.271165845,0.007397504,0.065083032,3.955363748,0.359979427,0.242886079,0.64131573,1.984964722,-0.913962735,0.08413394,0.593109783,0.000254651,0.720464648,0.809143672,0.52441257,0.052963597,0.365371208,0.933304961,0.555932662,0.000340771,0.999843863,0.999951772,0.991234928,0.205426391,0.479479619,0.999396546,0.862343659,4424.262907,2.83E-65
2.966413221,3.517047622,0.049129317,0.089956487,0.065511066,-0.153255656,0.441994465,-0.03537097,-0.159668318,3.390208532,0.548033715,1.033148133,0.784607836,-0.996711598,1.070044634,-0.288951218,-1.045147586,0.001417609,0.586245526,0.306787365,0.436594928,0.323975448,0.290028414,0.773881143,0.301265821,0.001735926,0.999843863,0.999951772,0.991234928,0.568036509,0.401299833,0.999396546,0.722615437,1190.829449,7.80E-52
7.201754069,9.096691017,0.028404063,-0.083523991,-0.122938706,-0.040562948,-1.943900964,0.040217164,0.162597146,7.882722901,0.284833899,-0.862354826,-1.323644201,-0.237152201,-4.230618366,0.295347746,0.956789593,3.65E-10,0.777014607,0.392842755,0.191982196,0.8135627,0.000106117,0.769020651,0.343537553,1.35E-09,0.999843863,0.999951772,0.991234928,0.910691798,0.002826808,0.999396546,0.753447042,5672.618472,7.97E-68
6.914617319,6.367154408,0.026811404,-0.011512047,0.083531711,0.192484301,-0.795493791,-0.108618511,-0.090921265,6.930831419,0.337736413,-0.149305037,1.129746848,1.413644163,-2.174771565,-1.002012636,-0.67207251,1.01E-08,0.737055921,0.88194762,0.264278652,0.164013243,0.034679984,0.321435312,0.504806693,2.76E-08,0.999843863,0.999951772,0.991234928,0.38990193,0.081447005,0.999396546,0.842559332,8247.857529,1.15E-71
7.54783427,5.448708381,0.089634384,0.010259152,0.122762083,0.161946295,1.26901228,-0.084020012,-0.109456805,4.161043326,0.792139544,0.093347373,1.164830493,0.834419655,2.433948566,-0.543776971,-0.567625828,0.000132677,0.4322336,0.926021814,0.249927787,0.408238373,0.018763618,0.589148541,0.572973147,0.000184535,0.999843863,0.999951772,0.991234928,0.648898913,0.053110791,0.999396546,0.86901266,4837.819488,3.42E-66
4.635597777,7.456721083,-0.029154424,-0.016745403,-0.054746494,-0.129016713,-2.403133119,-0.105929467,0.098686484,5.365299956,-0.242755434,-0.143556763,-0.489431851,-0.62632092,-4.342710067,-0.645940172,0.482185882,2.38E-06,0.809244289,0.886460239,0.626797749,0.53411504,7.38E-05,0.521439207,0.63189738,4.25E-06,0.999843863,0.999951772,0.991234928,0.748346408,0.002481163,0.999396546,0.891595816,1622.303117,5.38E-55
3.12038482,2.419258127,-0.04557228,-0.005877821,-0.033688594,0.182542207,-0.527432248,0.131921771,0.227461458,3.701213768,-0.806828255,-0.107142133,-0.640375422,1.884213425,-2.026588334,1.710439945,2.36309122,0.000559211,0.423803209,0.915129306,0.525018252,0.065689042,0.048362077,0.093735848,0.022283779,0.000716591,0.999843863,0.999951772,0.991234928,0.232398426,0.10424606,0.999396546,0.270871079,3319.35044,2.50E-62
9.187977402,6.805486185,0.119172016,0.082287486,0.106810821,0.293023468,0.60154275,-0.264185925,0.198743283,4.130768768,0.837075048,0.595096595,0.805520855,1.199993706,0.917012221,-1.358972921,0.819171614,0.000146157,0.406759167,0.554614926,0.424549526,0.236116771,0.363787565,0.180599087,0.416796232,0.000202264,0.999843863,0.999951772,0.991234928,0.47504796,0.477694636,0.999396546,0.799646583,4528.277277,1.63E-65
7.155527842,8.852824344,-0.03094953,-0.020812629,-0.080138036,-0.168390806,-0.757722104,-0.056689246,0.234977053,11.56255341,-0.467782906,-0.323877514,-1.300470215,-1.483867482,-2.485528571,-0.627483027,2.084049672,2.19E-15,0.642087687,0.747458317,0.199739575,0.144476536,0.016525609,0.533359762,0.042581256,3.12E-14,0.999843863,0.999951772,0.991234928,0.362990979,0.048410581,0.999396546,0.346219345,12716.99902,4.12E-76
6.177986208,9.554983081,-0.053691827,0.182077578,-0.053776431,-0.286179481,-1.939151909,-0.066098057,0.002853363,5.442842895,-0.353934128,1.235760446,-0.38060778,-1.099864552,-2.774243692,-0.319090569,0.011037319,1.82E-06,0.724960862,0.222648839,0.705198023,0.276956572,0.007895948,0.751062537,0.991240087,3.32E-06,0.999843863,0.999951772,0.993934909,0.52244775,0.029216032,0.999396546,0.998512592,1804.518365,4.38E-56
