"","(Intercept)","DiagnosisFactorBipolar","DiagnosisFactorDepression","DiagnosisFactorSchizophrenia","BrainpH","RNADegradPerSample","RateofDeathFactorOn respirator","RateofDeathFactorPossible anoxia"
"1",1.14425411071739,0.0988790072742441,0.0960374314372927,0.0920942834647446,0.16959679648679,0.455601958920177,0.135018439049699,0.168504604790323
"2",0.923837056802151,0.079831997284664,0.077537792672855,0.0743542111734532,0.136927456796463,0.367839598616977,0.109009909754654,0.136045653399055
"3",0.959488734632539,0.0829127836926062,0.0805300437237285,0.0772236050374151,0.142211606787956,0.382034849572321,0.11321669725498,0.141295773828297
"4",1.03260189589695,0.0892307481524185,0.0866664431006924,0.0831080533740409,0.153048148964494,0.411145952764275,0.121843823708317,0.152062529419069
"5",0.788029077205448,0.0680963538845947,0.0661394071158405,0.0634238256475392,0.116798537825393,0.313765611937168,0.0929849890277854,0.116046363280737
"6",1.01811980050138,0.0879792995427496,0.0854509585063231,0.0819424746917959,0.150901670343617,0.405379688986245,0.120134981331292,0.149929873972774
"7",0.83010446920583,0.0717322359432259,0.0696708015295345,0.0668102264841017,0.123034785200302,0.330518561162485,0.0979497548932399,0.122242449651777
"8",0.934871697031986,0.0807855392132751,0.0784639318010279,0.0752423244655443,0.138562967314481,0.372233206345894,0.1103119631057,0.137670631341905
"9",1.04608631723997,0.0903959842512685,0.087798192751467,0.0841933351395952,0.155046756302527,0.416514977634925,0.123434943638908,0.154048265863404
"10",1.41138651317206,0.121962854225811,0.118457896913563,0.113594199404618,0.209190099468877,0.56196473682892,0.166539234702697,0.207842929626309
"11",0.818169663742405,0.0707009075825222,0.068669111388616,0.0658496641866622,0.121265855769041,0.325766539126874,0.0965414848342203,0.120484912004302
"12",0.951080594662076,0.0821862068548956,0.0798243471845023,0.0765468833034939,0.140965385699434,0.378687022367211,0.112224562795081,0.140057578317812
"13",0.745149469230136,0.0643909767055261,0.0625405147261027,0.0599726981971342,0.110443092755011,0.296692452043486,0.0879253281695343,0.10973184683918
