"","PC1","PC2","PC3","PC4","ProbesetID","EntrezGeneID","GeneSymbol"
"1",-0.000638505306260226,0.00225190892381956,0.00535749445305491,0.00387264767652309,"1_at","1","A1BG"
"2",0.00947182322131337,0.00948750525248655,0.00824085567463384,-0.00661760712880822,"10_at","10","NAT2"
"3",0.00549097194444893,-0.00381322147068711,0.00482274169473199,0.0027171579460065,"100_at","100","ADA"
"4",0.000616260290274498,-0.00306077693440177,-0.00907065937152176,-0.000475121471011888,"1000_at","1000","CDH2"
"5",-0.00674864576768523,0.0014671425550788,-0.00221976121967938,-0.00344951137023632,"10000_at","10000","AKT3"
"6",0.00662490082787595,0.0053402318347486,0.00129910491189394,0.00195409709147214,"100009676_at","100009676","ZBTB11-AS1"
"7",-0.01563983887223,-0.00630674630621339,0.00101499480511477,-0.00592827534572152,"10001_at","10001","MED6"
"8",0.00634413601963955,0.00450820337564397,-0.00227663041299411,-0.00019651449637089,"10002_at","10002","NR2E3"
"9",-0.00362159652280641,-0.00782100546371614,-0.00337723124795183,0.00156517483270471,"10003_at","10003","NAALAD2"
"10",0.00272490587328789,0.00298268155096755,0.00428313900617095,-0.00273481752086478,"100038246_at","100038246","TLX1NB"
"11",0.00775142606352681,0.00396714235628946,0.00102624727326293,0.000744455622213294,"10004_at","10004","NAALADL1"
"12",0.00255301483851982,0.00343503855688498,0.00289282812775791,-0.00300564297135369,"100048912_at","100048912","CDKN2B-AS1"
"13",0.00163442148204941,0.000284372693624884,0.0025419604178066,0.00176392518526642,"100049716_at","100049716","NINJ2-AS1"
"14",-0.0112234662113014,0.00576866640262823,0.0024458598337602,0.00748853386961813,"10005_at","10005","ACOT8"
"15",-0.00993043867167068,-0.00866694305059294,-0.00863373845782979,-0.0022406334148831,"10006_at","10006","ABI1"
"16",-0.0054431998557918,-0.00178773389980982,-0.00560366756119824,-0.000429002494135456,"10007_at","10007","GNPDA1"
"17",0.00227015812829652,0.00102691255074361,0.00225897200503578,0.00380262765629872,"10008_at","10008","KCNE3"
"18",0.000454160403777484,-0.00410397187167487,-0.00860982562061539,-0.00128901945600873,"10009_at","10009","ZBTB33"
"19",-0.011107209499097,0.00394801031588752,-0.0120469039778329,-0.00756717655931065,"100093630_at","100093630","SNHG8"
"20",0.00326157736556851,0.00173094797412804,0.00748219281465823,-0.010100826241966,"100093698_at","100093698","GS1-600G8.3"
"21",0.00319110203806424,0.00237903686009615,-0.00286192458585356,-0.00757080580239232,"1001_at","1001","CDH3"
"22",-0.00389381764607758,-0.00854859783117864,-0.00232823651420734,-0.00481785943060257,"10010_at","10010","TANK"
"23",-0.000324026377226251,-0.00490476420015899,0.00612015050108958,-0.00482397013526071,"100101467_at","100101467","ZSCAN30"
"24",0.00230064898061394,0.00122355760572494,0.0117163614195922,-0.00526260239238178,"100101938_at","100101938","ANKRD26P3"
"25",-0.000479598584916724,0.00248817366456864,-0.00104346296480092,0.00364657703234234,"10011_at","10011","SRA1"
"26",-0.0057321661490643,-0.00279022938472164,-0.0111603299121885,0.00656037793362977,"100113407_at","100113407","TMEM170B"
"27",0.000915122491404844,0.000200951083951407,0.00136436742530624,-0.000239806290027943,"100124700_at","100124700","HOTAIR"
"28",0.00853028490812075,0.00564217806782625,-0.00185397729637423,0.0100795989491517,"100125288_at","100125288","ZGLP1"
"29",-0.00339934117917294,0.00832413818599084,-0.000685449214472158,0.00246288941112261,"100126784_at","100126784","LOC100126784"
"30",0.00686536275046775,0.00849056226746944,0.00789673984642141,-0.00229582545767316,"100126791_at","100126791","EGOT"
"31",0.00715719121036248,0.00415227940476733,-0.000872366261700145,0.000793681145445994,"100126793_at","100126793","GHRLOS"
"32",-0.00108329073452768,0.0048028476757729,0.00540172151742885,0.00421615956208757,"100127888_at","100127888","SLCO4A1-AS1"
"33",0.00200844001681517,0.00180354026338789,-0.00131935995189044,0.00156378161008288,"100127950_at","100127950","HECW1-IT1"
"34",0.0044305686475822,0.00449882987308709,0.00422427112508195,0.0106762265137502,"100127955_at","100127955","LOC100127955"
"35",-0.00446431938149378,-0.00312628717800759,-0.0001970849012828,-0.00292208177691262,"100127983_at","100127983","C8orf88"
"36",0.00104376810730345,0.00332696604530876,0.00249944113506582,0.00257516029624957,"100128011_at","100128011","FAR1P1"
"37",0.00568080015225283,0.00209028511237364,0.00294555317703615,0.000997164276236389,"100128025_at","100128025","WWTR1-AS1"
"38",0.00532602238010955,-0.000745832059237844,0.000969076286853591,0.0149114722506376,"100128071_at","100128071","FAM229A"
"39",-0.00732461977110498,-0.0309615584080389,0.0221080438538016,0.0149031218632846,"100128079_at","100128079","LOC100128079"
"40",0.00695407971407995,0.00739836119422572,0.00686395184121422,-0.0031178344237804,"100128098_at","100128098","ST8SIA6-AS1"
"41",0.00675103725914292,0.00349864772588297,-0.00117860368988685,0.00325878616156109,"100128124_at","100128124","HGC6.3"
"42",0.0039938646216666,0.0060193125931857,0.00927886101088117,-0.0102490793937042,"100128126_at","100128126","STAU2-AS1"
"43",0.00193436598042119,0.000670840239012396,-0.00259887819277798,0.000900273406047553,"100128139_at","100128139","LINC01233"
"44",0.00320641718969044,0.00648499393991609,0.00316008441197423,-0.00643556912199836,"100128164_at","100128164","LOC100128164"
"45",0.000185519095807152,0.000880903325589983,-0.00103051329392515,-0.00204086394681248,"100128176_at","100128176","UST-AS1"
"46",0.00729985455427358,0.00332291115316043,0.00248713465135901,-0.00253947864400159,"100128191_at","100128191","TMPO-AS1"
