"PC1"	"PC2"	"PC3"	"PC4"
"GSM439778.CEL.gz"	-7.63445500380476	11.3726516070657	-8.297181490214	10.2299559428202
"GSM439779.CEL.gz"	-11.0694616472155	-5.11118365702276	0.496155905039501	5.09952451405793
"GSM439780.CEL.gz"	1.11188508372928	-3.17294263970261	10.838279483444	11.5730702176134
"GSM439781.CEL.gz"	1.65314719229889	-10.2332108571136	0.598385058837913	9.8855996060925
"GSM439782.CEL.gz"	-8.2021398360208	13.6194125903406	-3.26553005913517	10.2019735817706
"GSM439783.CEL.gz"	-8.70117034797587	8.49368682552074	0.941856150156196	3.93019345489151
"GSM439784.CEL.gz"	-5.31265036616761	-6.86087363217838	-7.15868351421709	-1.446358210987
"GSM439785.CEL.gz"	-4.66659493201099	2.11763183802503	-2.93643060533609	-2.17099345402089
"GSM439787.CEL.gz"	40.679924810601	-12.5757782156505	6.29721315101174	3.29543163821325
"GSM439788.CEL.gz"	-0.798093002498055	-4.5547051863312	-9.91044089059862	5.52845412398675
"GSM439789.CEL.gz"	-20.8065010654785	6.90253053238782	11.5262965737307	2.28636752823668
"GSM439790.CEL.gz"	-8.20727957858086	-1.1774816796919	-5.11353687364404	7.89141915163848
"GSM439791.CEL.gz"	-4.23481066320304	-5.22773603508063	6.77849364121088	-2.06632485184333
"GSM439792.CEL.gz"	-12.0444444242486	-6.94638958389459	3.17801813613612	6.81233163773575
"GSM439793.CEL.gz"	-0.390207186959295	-20.3210845862327	5.5837988373152	3.56645070987941
"GSM439794.CEL.gz"	-0.4659108574047	14.0713502538766	3.18699828750204	0.118297728924527
"GSM439796.CEL.gz"	2.56796129198346	11.2140893135434	11.3077077898634	-3.67182349380217
"GSM439797.CEL.gz"	-9.20124742715187	-2.22119045510054	-13.0273725314944	-0.321183743907967
"GSM439798.CEL.gz"	7.04754416009819	-13.9856974138267	-7.35445807640776	5.62317855319546
"GSM439799.CEL.gz"	26.9500344961875	26.461548234337	-4.25546274086726	-10.5862674293171
"GSM439800.CEL.gz"	8.54786999485463	19.8383016905604	-1.03679676872499	8.81992249598213
"GSM439801.CEL.gz"	16.7508604393492	-1.22241308708743	-3.14989411284906	6.81485801698274
"GSM439802.CEL.gz"	14.2783932639984	3.37569522461123	-2.40669329052499	11.4743253486081
"GSM439803.CEL.gz"	-4.02529927852029	4.67214439255602	3.29270754437142	2.08427303938869
"GSM439804.CEL.gz"	-3.73729357353733	20.6569735491517	11.991232427168	-5.95926994056156
"GSM439805.CEL.gz"	10.2239485723534	1.35900106510023	-5.8052512266225	9.51898069133214
"GSM439806.CEL.gz"	-14.1272771202074	-7.31942358617685	-4.86578491481547	1.73490489812817
"GSM439807.CEL.gz"	17.2666645297997	-9.52183398930487	2.18532079545301	1.05019707768395
"GSM439808.CEL.gz"	25.3973860302038	-20.5684583089717	12.2088760089681	-2.35639298486506
"GSM439809.CEL.gz"	-15.6905814573379	-5.64655968045178	-6.33528855955212	3.69790358488107
"GSM439810.CEL.gz"	-14.6236467826006	-1.76454288019253	2.56691010126943	2.72893820036124
"GSM439811.CEL.gz"	-6.02650432471025	-14.9938103656702	-7.55057649970609	-4.12585919340821
"GSM439812.CEL.gz"	-14.2869097623632	-0.405609756513298	-3.00812698697794	-6.64983940980875
"GSM439813.CEL.gz"	-8.87361661744687	-8.02347795326688	23.0391844137398	-2.97371860273718
"GSM439814.CEL.gz"	-20.4999038044959	-2.39319908838252	4.75538718386752	-9.11241178647409
"GSM439815.CEL.gz"	-3.53669155088757	4.26300388035233	1.4847261270274	-8.58446290791651
"GSM439816.CEL.gz"	-17.3397208903075	1.04573294398544	8.44401634896994	2.56547007191486
"GSM439817.CEL.gz"	1.95176630290356	-6.91236186070199	4.10254791836389	-10.212367774469
"GSM439818.CEL.gz"	10.1970150257098	8.84481117894815	0.568494308716251	4.61393803296337
"GSM439819.CEL.gz"	24.456782979618	-5.27066305288859	-8.85411786139142	-6.84362273170583
"GSM439820.CEL.gz"	8.02034630047042	-15.0651068920796	-0.101783506283079	-10.0820526333056
"GSM439821.CEL.gz"	40.3903483479525	5.3563292152674	-0.0887624153555362	-5.09332819423808
"GSM439822.CEL.gz"	7.75384355727299	13.9647181068699	5.56593419376857	-7.7226479697608
"GSM439823.CEL.gz"	-2.20625666085981	3.80353519000782	-4.62740945279458	-10.1218876205065
"GSM439824.CEL.gz"	-18.9449639254119	0.777604542387055	-1.40145936955384	-4.87254190896944
"GSM439825.CEL.gz"	4.90535884622078	14.9135556710528	-8.02140843157541	4.9269417613223
"GSM439826.CEL.gz"	-9.60539803480938	5.27760485418234	6.100356702874	-7.25692616406338
"GSM439827.CEL.gz"	-8.50228410631886	-14.5001837234775	-11.4549292102704	-10.162380541904
"GSM439828.CEL.gz"	-6.38976699706981	3.59400546686202	-17.011517699893	-13.6802400600326
