"PC1"	"PC2"	"PC3"	"PC4"
"GSM317649.CEL.gz"	-3.55638807951033	-8.02280600492253	4.94240572332343	4.39847489933848
"GSM317650.CEL.gz"	10.2013409833799	10.7850884744073	15.6139466038709	0.733325140798369
"GSM317651.CEL.gz"	3.21165530102874	-12.2859845374151	-1.49598099475248	-7.26996909635555
"GSM317652.CEL.gz"	-4.31816212465196	-8.07624349674986	-0.463292484923963	-3.45699970705382
"GSM317653.CEL.gz"	10.7702944389415	-7.87103188820798	-2.88850804736253	-12.1635832423073
"GSM317654.CEL.gz"	2.98774290132029	-8.8996629958094	-3.35737799645003	0.633979124877118
"GSM317655.CEL.gz"	-1.61557196101489	16.2177027671015	-4.12937677257521	-6.75210662221279
"GSM317656.CEL.gz"	-9.24516590650965	1.66002723580805	4.11495439837682	-0.38206311949312
"GSM317657.CEL.gz"	-1.42247111958241	9.3041989276408	-3.13211460953086	2.47792212617743
"GSM317658.CEL.gz"	-1.92002031111374	9.03517468865402	5.57695928600355	9.15523386200779
"GSM317659.CEL.gz"	-6.83594805635528	0.976204463404992	-8.98547829952277	-3.07597629937702
"GSM317660.CEL.gz"	5.25420415953391	-9.83838286613305	6.53760245328885	-10.0009209996386
"GSM317661.CEL.gz"	18.353152133386	3.09739160882223	7.41660662586253	-7.30007180745821
"GSM317662.CEL.gz"	28.8255707213289	1.87685541924836	10.6696437996899	-4.94567350031688
"GSM317663.CEL.gz"	8.77229025680627	2.51125865068663	-3.15935205049305	5.08707684615797
"GSM317664.CEL.gz"	-10.3947616466651	-1.67164593893136	-1.5041703792222	5.06977343549361
"GSM317665.CEL.gz"	4.8739928854586	-9.95136373303879	1.15030759899812	-3.55119466806004
"GSM317666.CEL.gz"	12.331629276855	-2.1917978791613	-14.1911472459591	6.99308812700391
"GSM317667.CEL.gz"	40.247528681468	-0.697258401967624	-21.9662586168881	2.35559436960813
"GSM317668.CEL.gz"	-24.4977812184203	6.78953638430474	0.75819558426444	-4.19602222730348
"GSM317669.CEL.gz"	-2.27346346641854	-16.1898258198229	8.71661832483791	4.28712609102498
"GSM317670.CEL.gz"	-13.8691962492107	24.5158497260361	5.07543740930112	-2.30403756422171
"GSM317671.CEL.gz"	-6.03649459739426	-0.694231096272331	2.70094860892323	11.2613317176099
"GSM317672.CEL.gz"	7.10257719897541	-1.63278250210436	5.04167446213644	-0.795713392916032
"GSM317673.CEL.gz"	-6.94252902471631	-2.86462957078131	3.3622004784452	-0.596200536407465
"GSM317674.CEL.gz"	-9.9029278581704	-0.471636347452377	-0.35305242639412	-0.896074286081896
"GSM317675.CEL.gz"	-20.1917187602634	-1.45911792703386	-3.33190610070983	-3.58216280520612
"GSM317676.CEL.gz"	-8.26607298602786	4.18095192663061	-15.517126805058	-3.61782067652345
"GSM317677.CEL.gz"	-11.8787898555153	3.53092390140863	-14.1450413707374	-2.33362467249279
"GSM317678.CEL.gz"	13.2630936520885	-0.324653761877495	9.24971025541011	1.94841776649185
"GSM317679.CEL.gz"	0.628802072459244	-7.04925157118607	10.4727442281955	10.6932880036644
"GSM317680.CEL.gz"	2.12390757131762	-13.3751786122093	0.759929695634961	12.2464046715352
"GSM317681.CEL.gz"	17.3920495504727	-10.3401574256943	3.64097976964107	-0.167962174399518
"GSM317682.CEL.gz"	0.17367921023806	-8.9044229232101	6.55927791094874	-4.99786358997604
"GSM317683.CEL.gz"	16.0300611205937	11.4654774127795	14.678940109275	-2.0916364596976
"GSM317684.CEL.gz"	-4.26310564998824	-4.66430900006381	-8.54062162370549	-0.107203692268521
"GSM317685.CEL.gz"	-11.8684130190423	-8.32360983537049	-1.57331196785032	-1.88082360171148
"GSM317686.CEL.gz"	29.3472378817819	15.0365657700188	-12.7457639612551	4.08440596312415
"GSM317687.CEL.gz"	-0.707898311601808	-1.92385739908937	-8.72432476640266	0.410030672190517
"GSM317688.CEL.gz"	-8.18586532818629	-1.3553459537499	3.67632330546104	-11.9367842601031
"GSM317689.CEL.gz"	3.319007958809	4.97419278284573	5.2053226516896	1.07102848541629
"GSM317690.CEL.gz"	0.86276978329753	17.9135597794127	5.86842144984043	4.036017831165
"GSM317691.CEL.gz"	-7.47164640726496	3.34268319434186	-1.88531010498475	3.14098551779391
"GSM317692.CEL.gz"	-0.247838480208397	1.22405977387313	0.777155928246709	-2.11962153365261
"GSM317693.CEL.gz"	-6.38057751986422	2.75082363433687	-4.28184722449269	-1.65191100896656
"GSM317694.CEL.gz"	-9.79265326927281	-2.97324146554423	-6.82619444823539	0.670998799356621
"GSM317695.CEL.gz"	-13.6495107355307	-3.57496654229672	1.77200642397935	10.4623898693721
"GSM317696.CEL.gz"	-10.5645467628405	-3.28629611434135	0.546152153504888	0.532071577873452
"GSM317697.CEL.gz"	-6.75029164956368	3.46267738955428	0.21666950967393	2.38979961223531
"GSM317698.CEL.gz"	-13.0227773846368	4.26248769912028	-1.90357645131759	-1.96474296611486
