"","ProbesetID","EntrezGeneID","GeneSymbol"
"150","100130889_at","100130889","PSORS1C3"
"151","100130890_at","100130890","TSTD3"
"152","100130894_at","100130894","VAC14-AS1"
"153","100130922_at","100130922","RPL22P22"
"154","100130933_at","100130933","SMIM6"
"155","100130950_at","100130950","LOC100130950"
"156","100130958_at","100130958","SYCE1L"
"157","100130964_at","100130964","LOC100130964"
"158","100130967_at","100130967","C6orf99"
"159","100130987_at","100130987","LOC100130987"
"160","100130992_at","100130992","LOC100130992"
"161","100131017_at","100131017","ZNF316"
"162","100131067_at","100131067","CKMT2-AS1"
"163","100131117_at","100131117","ZBTB20-AS1"
"164","100131138_at","100131138","LINC01405"
"165","100131187_at","100131187","TSTD1"
"166","100131211_at","100131211","NEMP2"
"167","100131213_at","100131213","ZNF503-AS2"
"168","100131303_at","100131303","DPEP2NB"
"169","100131347_at","100131347","RDM1P5"
"170","100131366_at","100131366","LINC00605"
"171","100131434_at","100131434","LINC00893"
"172","100131454_at","100131454","DBIL5P"
"173","100131496_at","100131496","LOC100131496"
"174","100131532_at","100131532","LOC100131532"
"175","100131561_at","100131561","FKSG29"
"176","100131564_at","100131564","CCDC18-AS1"
"177","100131655_at","100131655","ZNF236-DT"
"178","100131689_at","100131689","LOC100131689"
"179","100131691_at","100131691","MZF1-AS1"
"180","100131733_at","100131733","USP30-AS1"
"181","100131755_at","100131755","ARMCX4"
"182","100131801_at","100131801","PET100"
"183","100131814_at","100131814","LINC00271"
"184","100131816_at","100131816","UBE2DNL"
"185","100131825_at","100131825","CADM3-AS1"
"186","100131827_at","100131827","ZNF717"
"187","100131897_at","100131897","INSYN2B"
"188","100131998_at","100131998","RRN3P3"
"189","100132057_at","100132057","LOC100132057"
"190","100132074_at","100132074","FOXO6"
"191","100132078_at","100132078","LOC100132078"
"192","100132111_at","100132111","C2CD4D-AS1"
"193","100132116_at","100132116","ACTA2-AS1"
"194","100132234_at","100132234","LINC00543"
"195","100132341_at","100132341","CLUHP3"
"196","100132354_at","100132354","LINC01512"
"197","100132356_at","100132356","LOC100132356"
"198","100132386_at","100132386","KRTAP4-9"
"199","100132464_at","100132464","FAM99B"
"200","100132476_at","100132476","KRTAP4-7"
"201","100132570_at","100132570","LOC100132570"
"202","100132596_at","100132596","XGY2"
"203","100132618_at","100132618","ZRANB2-AS1"
"204","100132677_at","100132677","BSN-DT"
"205","100132686_at","100132686","LOC100132686"
"206","100132707_at","100132707","PAXIP1-AS2"
"207","100132735_at","100132735","FILNC1"
"208","100132815_at","100132815","IPO5P1"
"209","100132891_at","100132891","MSC-AS1"
"210","100132987_at","100132987","LINC00856"
"211","100133190_at","100133190","ADIRF-AS1"
"212","100133205_at","100133205","LINC00240"
"213","100133308_at","100133308","RSU1P2"
"214","100133311_at","100133311","HOXA-AS3"
"215","100133319_at","100133319","PRO1804"
"216","100133461_at","100133461","LINC02171"
"217","100133612_at","100133612","LINC01134"
"218","100133941_at","100133941","CD24"
"219","100133985_at","100133985","LINC01816"
"220","100133991_at","100133991","MAP3K14-AS1"
"221","100134229_at","100134229","KDM7A-DT"
"222","100134259_at","100134259","LINC01119"
"223","100134368_at","100134368","LOC100134368"
"224","100134713_at","100134713","NDUFB2-AS1"
"225","100137047_at","100137047","JMJD7"
"226","10014_at","10014","HDAC5"
"227","100141515_at","100141515","C17orf99"
"228","100144596_at","100144596","LINC00029"
"229","100144597_at","100144597","LINC01056"
"230","100144602_at","100144602","EPHA5-AS1"
"231","100144603_at","100144603","CHKB-DT"
"232","100144604_at","100144604","LINC00930"
"233","100144748_at","100144748","KLLN"
"234","100147773_at","100147773","TMCO1-AS1"
"235","10015_at","10015","PDCD6IP"
"236","10016_at","10016","PDCD6"
"237","100169752_at","100169752","TEX36-AS1"
"238","100169890_at","100169890","PEG3-AS1"
"239","100169989_at","100169989","DBIL5P2"
"240","10017_at","10017","BCL2L10"
"241","100170229_at","100170229","SRRM5"
"242","100170765_at","100170765","ERICH4"
"243","100170841_at","100170841","EPOP"
"244","10018_at","10018","BCL2L11"
"245","100188893_at","100188893","TOMM6"
"246","100188953_at","100188953","LINC00092"
"247","100189589_at","100189589","DCTN1-AS1"
"248","10019_at","10019","SH2B3"
"249","100190938_at","100190938","RAMP2-AS1"
"250","100190939_at","100190939","TPT1-AS1"
"251","100192378_at","100192378","ZFHX4-AS1"
"252","100192379_at","100192379","PP12613"
"253","100192386_at","100192386","FLJ16779"
"254","1002_at","1002","CDH4"
"255","10020_at","10020","GNE"
"256","10021_at","10021","HCN4"
