A	Coef.(Intercept)	Coef.DiagnosisFactorScz	Coef.BrainpH	t.(Intercept)	t.DiagnosisFactorScz	t.BrainpH	p.value.(Intercept)	p.value.DiagnosisFactorScz	p.value.BrainpH	p.value.adj.(Intercept)	p.value.adj.DiagnosisFactorScz	p.value.adj.BrainpH	F	F.p.value
6.31049850820364	6.2567463976441	-0.0413399532887161	0.0119867233449384	12.265836424106	-0.874681852429154	0.152974678601928	1.18886732822344e-16	0.385953569104533	0.879037516802522	2.00570413688386e-16	0.68251166238236	0.930655928785094	35971.6802409054	6.59864849522255e-83
7.09211764439066	8.29812493175966	-0.0756319058170178	-0.184641006883771	10.6269631144486	-1.04535973093316	-1.5393161115315	2.14791998945152e-14	0.300913526374826	0.130069047630651	2.96243817279523e-14	0.615034167216376	0.283275044333278	19389.1446697897	3.06374839298158e-76
7.16802265452472	7.90287267672274	0.0207302119273645	-0.118120997407287	11.5835945577564	0.327939419152405	-1.12708305295525	9.9186040410788e-16	0.744334751953836	0.265118618650481	1.52827623152943e-15	0.890185307121178	0.449950339074222	25945.4431162857	2.21009503906832e-79
9.58579496520927	10.5028678816379	-0.0299816754047031	-0.14271832367318	23.5749075619877	-0.726322523729945	-2.08541399243717	1.21703935417089e-28	0.471047372424772	0.0421866352610528	3.65505554277616e-27	0.738842506886229	0.134242522658007	108812.088701103	7.4928388550741e-95
8.10865269134947	6.58268967801137	0.108559031474964	0.232545742841688	15.9743144916277	2.84325837029741	3.67364928444704	3.23849153552374e-21	0.00646343606917555	0.000585135917461981	1.09570036677379e-20	0.202920940051732	0.0077054770791383	91009.8094393158	6.35025025531684e-93
7.00292842135042	8.18925015652264	-0.132523970008405	-0.176742539764771	15.7924123075464	-2.75822881932972	-2.21878836013281	5.21998877109561e-21	0.00811017174643093	0.0310964843023902	1.69830509293157e-20	0.204761657318593	0.109397485344257	42867.2984730009	8.45629574382958e-85
7.40602401663825	4.56091245451174	0.163937594954446	0.436807010586243	4.82485662045208	1.87172806964284	3.00810316749424	1.37107006625185e-05	0.0671340740828446	0.00411781726383759	1.42146374723298e-05	0.342083703112708	0.0279475121841446	14429.6913945754	4.69850023873495e-73
5.58283497462979	6.7070285949027	-0.0457038236279606	-0.174199056170154	14.4819719389201	-1.06507844816236	-2.44857715039141	1.82005128057815e-19	0.291986578362495	0.0179140547452302	4.47173811982278e-19	0.607225041071167	0.0758533746645429	34155.5527343747	2.39005598710825e-82
5.46009761780832	5.97566367553613	0.0316103738334128	-0.0843070670598951	9.78131976658403	0.558434782140109	-0.89835035263554	3.57995428935243e-13	0.579054350349175	0.373329615619436	4.56280512370688e-13	0.80528542691504	0.557523759428163	18774.7273716765	6.8162093510186e-76
6.41605701900919	6.73032639577063	-0.017969398974642	-0.0482611347381062	19.5307091285139	-0.56279075568371	-0.911695614712776	5.73138738524689e-25	0.576106938347497	0.366329176731544	4.93450224205362e-24	0.803518088566932	0.551097414947138	81476.4521025974	9.93093454593994e-92
7.10983034086557	8.34098272560937	-0.0761085394681612	-0.188583208876128	16.4961959810111	-1.62454404928583	-2.42795178525795	8.40142867365745e-22	0.110584439700201	0.018847817887272	3.21119177191526e-21	0.411904078868057	0.0785050248610788	46472.9944386853	1.13692743297407e-85
5.62097544727929	5.88689662207319	-0.0144101479049318	-0.0409032764039203	14.0444609932315	-0.371038199043163	-0.63525371704813	6.23394716167354e-19	0.712185712625352	0.528176446994449	1.41125893953771e-18	0.874316598932068	0.693615806090968	42266.1335438464	1.20107489848767e-84
6.26989474492059	6.9087653788757	-0.0279700977275006	-0.0988281788069994	19.0715666101846	-0.833319273552818	-1.77597630925241	1.63130237930014e-24	0.408650905772421	0.0818577970305294	1.22931576347112e-23	0.696059665408523	0.208444608512844	70409.1958078007	3.73690778857086e-90
8.48684915281279	5.96620844621519	0.0899385102682282	0.391638633989362	8.25051877045976	1.34233230382126	3.52564688010238	7.13153380159947e-11	0.185586808031901	0.000918195220811636	8.22593523277404e-11	0.506015192740653	0.010283334025243	32377.8479529944	9.01742147691872e-82
