GeneSymbol
HPRT1
GUSB
ACTB
B2M
HMBS
IPO8
PGK1
RPLP0
TBP
TFRC
UBC
YWHAZ
PPIA
POLR2A
CASC3
GADD45A
PUM1
PSMC4
EMC7
GPI
RAB7A
REEP5
