,b,se,pval,BH_adjPval,EntrezGeneID,GeneSymbol
8007,0.055856269,0.071994183,0.437840986,0.809731459,9562,MINPP1
5287,0.029093233,0.037498827,0.437841219,0.809731459,5664,PSEN2
3023,-0.034288571,0.044216998,0.438067125,0.809864266,283238,SLC22A24
4936,-0.128273644,0.165429924,0.438105901,0.809864266,5414,SEPTIN4
6294,-0.062256982,0.080400997,0.438735096,0.810667853,6909,TBX2
1614,0.023614779,0.030508053,0.438900827,0.810667853,2017,CTTN
6023,-0.070324528,0.090873072,0.439003876,0.810667853,6566,SLC16A1
4171,0.020883811,0.026990422,0.439079258,0.810667853,4361,MRE11
2478,-0.036165705,0.046742103,0.439091274,0.810667853,2516,NR5A1
1342,-0.025988719,0.033596749,0.439197758,0.810667853,1629,DBT
4452,-0.027108939,0.035046328,0.439216329,0.810667853,4916,NTRK3
1391,-0.073443187,0.094968006,0.439317267,0.810675985,169611,OLFML2A
5131,-0.082643379,0.106908738,0.439506193,0.810702057,55589,BMP2K
5094,-0.024487779,0.031685157,0.439612914,0.810702057,5531,PPP4C
1045,0.054142323,0.070069394,0.439702461,0.810702057,1282,COL4A1
7987,-0.028979889,0.037511007,0.439776745,0.810702057,9534,ZNF254
4238,-0.037406761,0.048422539,0.439814072,0.810702057,4609,MYC
4649,0.025086275,0.03248769,0.440009095,0.810801946,51363,CHST15
6478,-0.028816825,0.037323162,0.440061357,0.810801946,7174,TPP2
1072,-0.030109201,0.039042663,0.440596003,0.811608956,1308,COL17A1
449,-0.031299146,0.040617452,0.440953729,0.812074352,10570,DPYSL4
6489,-0.054278308,0.070451531,0.441042048,0.812074352,719,C3AR1
4731,-0.046722313,0.060676917,0.441289273,0.812155646,5170,PDPK1
6344,-0.35393349,0.459806715,0.441451725,0.812155646,7018,TF
3761,-0.068401905,0.088866419,0.441468369,0.812155646,3798,KIF5A
4535,-0.064886398,0.084300001,0.441473032,0.812155646,5054,SERPINE1
6886,0.030502586,0.039670249,0.441950698,0.812763513,7978,MTERF1
1229,-0.041676334,0.054215935,0.442065464,0.812763513,1495,CTNNA1
240,0.03469927,0.045146004,0.442130131,0.812763513,10284,SAP18
1887,-0.025628745,0.033352024,0.442230886,0.812763513,22880,MORC2
200,-0.022497154,0.029280345,0.44228736,0.812763513,10238,DCAF7
1706,0.02202751,0.028697924,0.442745905,0.813104304,2132,EXT2
4691,0.034543358,0.045018326,0.44289265,0.813104304,51552,RAB14
6763,-0.037100914,0.048356608,0.442941417,0.813104304,7728,ZNF175
7569,-0.031564421,0.041140646,0.442943571,0.813104304,8972,MGAM
5784,0.11496768,0.149851727,0.442956917,0.813104304,6326,SCN2A
8210,0.02811422,0.036664973,0.443208246,0.813213438,9811,CTIF
4894,-0.256893604,0.335101539,0.44331092,0.813213438,5354,PLP1
63,-0.026609805,0.034711716,0.443322749,0.813213438,10052,GJC1
5637,0.025673696,0.033500824,0.443462046,0.813213438,6003,RGS13
261,-0.026452629,0.034524113,0.443552939,0.813213438,10307,APBB3
3182,-0.020091349,0.026224374,0.443597375,0.813213438,29890,RBM15B
7969,-0.163699374,0.213718725,0.443701831,0.813227407,9514,GAL3ST1
