"PC1"	"PC2"	"PC3"	"PC4"
"GSM439778.CEL.gz"	-8.59310175275274	11.2047491387155	1.92576065118848	5.43743181407766
"GSM439779.CEL.gz"	-11.7196009935112	-5.49765747061118	-2.97223548318564	-0.231242647190972
"GSM439780.CEL.gz"	0.741822993933595	-3.22754131384533	-1.4251436072441	-12.6402027839858
"GSM439781.CEL.gz"	1.09367448562833	-10.1825242120725	0.347198439891297	-2.10546937225767
"GSM439782.CEL.gz"	-9.42681035413285	13.4619726920446	1.60191422502886	0.219518765556527
"GSM439783.CEL.gz"	-9.79629083640432	8.10386164027014	-5.42312172457805	0.64810401965898
"GSM439784.CEL.gz"	-6.51597142788709	-6.88554009871471	0.935737989104462	7.62559539748479
"GSM439785.CEL.gz"	-6.01121400896922	2.12305365937591	1.53870012565962	2.20309813255104
"GSM439786.CEL.gz"	3.57107018580906	2.52234147469922	56.9813684946105	-15.2269614670516
"GSM439787.CEL.gz"	40.3149342207858	-11.6526357165068	-3.63798355750486	-3.6863841257896
"GSM439788.CEL.gz"	-1.72835983064801	-4.339664962317	6.51676230835668	6.2120362180119
"GSM439789.CEL.gz"	-21.4387006719503	6.17173584677548	-5.22332088773184	-11.5659876357172
"GSM439790.CEL.gz"	-8.99789834386127	-1.36362608954129	1.01634139668225	3.21451505751326
"GSM439791.CEL.gz"	-5.10371379693507	-5.4448223890129	-4.52882850321866	-5.28943217676592
"GSM439792.CEL.gz"	-12.2945475957711	-7.45605706036454	-4.60201334717806	-2.55595245741051
"GSM439793.CEL.gz"	-0.614940481395366	-20.3616657983876	-0.793767836947848	-6.32543149956931
"GSM439794.CEL.gz"	-1.75048952498749	13.9528741026261	-4.10684047322374	-2.03689196699963
"GSM439795.CEL.gz"	47.4184447972946	-2.9050572210452	-4.9709520709463	-6.26189289701725
"GSM439796.CEL.gz"	1.48927296384649	11.1298037975064	-5.31867938020101	-9.89577727184061
"GSM439797.CEL.gz"	-10.4778507431168	-2.08516803091709	9.19184273045107	8.84629352925026
"GSM439798.CEL.gz"	6.40299520336056	-13.4991568661467	8.5889229585271	2.97487403659179
"GSM439799.CEL.gz"	24.3701719642691	27.5411933114602	6.49650158729351	2.72132985899529
"GSM439800.CEL.gz"	7.72595997701269	19.9196716177248	-2.28277842758497	0.828174507605183
"GSM439801.CEL.gz"	15.8210141326084	-0.776699873260741	0.172478813102175	2.48690655700568
"GSM439802.CEL.gz"	13.5043273532876	3.64682037512382	-1.7719177712502	1.554425012366
"GSM439803.CEL.gz"	-5.15806059679546	4.47815611011117	-3.61337835290817	-2.96469680522873
"GSM439804.CEL.gz"	-5.01993794402313	20.5864236391512	-0.365199540751908	-13.1728186333003
"GSM439805.CEL.gz"	9.25790575414384	1.62940806862411	0.232407746219322	4.84894993637622
"GSM439806.CEL.gz"	-14.8597034500734	-7.61296174869195	1.6384216289323	3.45490019507642
"GSM439807.CEL.gz"	16.5588136880623	-9.13303972863118	-2.58970131881001	-0.266378083493045
"GSM439808.CEL.gz"	25.0524079300166	-20.0869519366197	-6.27780367570749	-8.16441557721695
"GSM439809.CEL.gz"	-16.3566679287184	-6.02439598962894	1.00775949773982	4.79981585379441
"GSM439810.CEL.gz"	-15.2608369696612	-2.2034836360518	-1.82154866550872	-2.83990208975514
"GSM439811.CEL.gz"	-7.34144853489635	-15.0180774840256	0.00985824836570477	9.61932495264745
"GSM439812.CEL.gz"	-15.4392795418084	-0.781926346001539	-2.10748546768608	4.41477386645654
"GSM439813.CEL.gz"	-9.21234658811476	-8.51334188997627	-7.94086397965292	-21.6028840927418
"GSM439814.CEL.gz"	-21.1780183128829	-3.07687525775776	-5.31586297961263	-2.3553289877544
"GSM439815.CEL.gz"	-4.50790709783515	4.07482698644076	-3.62924797446935	0.117540500794675
"GSM439816.CEL.gz"	-18.0338465594829	0.431796673167846	-5.27044771177847	-7.29056608392168
"GSM439817.CEL.gz"	0.726438460285755	-6.87719490432707	-3.76749309680969	-0.839725951409275
"GSM439818.CEL.gz"	8.87056404334115	9.02550398734614	-4.13878572664204	1.94945066942413
"GSM439819.CEL.gz"	22.6287593288617	-4.37353893104928	2.73691590874818	11.4349837388759
"GSM439820.CEL.gz"	6.79854052055359	-14.6801650140581	1.36846853287389	1.48019304619093
"GSM439821.CEL.gz"	38.6489467827149	6.31229444945051	-6.49372325214482	6.54740737710788
"GSM439822.CEL.gz"	6.21129368263096	14.0300483062183	-6.91662076734303	-0.518817773540873
"GSM439823.CEL.gz"	-4.00976630186212	4.05727304340346	4.87514287120646	3.88232217971773
"GSM439824.CEL.gz"	-20.2152505146281	0.262474411361691	-3.30605681428676	3.62223591069965
"GSM439825.CEL.gz"	3.06341204217342	15.0941361911508	-1.21272815734896	9.6585525993828
"GSM439826.CEL.gz"	-10.8842148048639	4.88394045427649	-6.97812886798796	-1.89130924144818
"GSM439827.CEL.gz"	-9.93020960343096	-14.3573611358768	6.15478776686861	11.530571171941
"GSM439828.CEL.gz"	-8.39378539922049	3.77277112841479	5.46536749939358	17.3951447162523
