A,Coef.(Intercept),Coef.DiagnosisFactorScz,Coef.BrainpH,t.(Intercept),t.DiagnosisFactorScz,t.BrainpH,p.value.(Intercept),p.value.DiagnosisFactorScz,p.value.BrainpH,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorScz,p.value.adj.BrainpH,F,F.p.value
7.585893103,6.868190255,0.011556522,0.112692211,15.7755742,0.28648477,1.685028336,5.46E-21,0.775697504,0.09825201,1.77E-20,0.905306564,0.235809442,71357.0364,2.68E-90
4.431372576,4.990781643,-0.027736247,-0.086263419,15.01411024,-0.900555014,-1.689383118,4.20E-20,0.372167281,0.097409573,1.16E-19,0.673942691,0.234504103,41771.3919,1.61E-84
7.471456342,8.675683573,-0.099939886,-0.18231641,15.32026514,-1.904727901,-2.095843208,1.83E-20,0.062609676,0.041209281,5.41E-20,0.33253961,0.132032622,40915.15316,2.69E-84
7.173913063,7.110877316,0.03490274,0.007050033,12.78471803,0.677265577,0.082514372,2.47E-17,0.501377384,0.934569057,4.50E-17,0.759522953,0.964317365,39100.36574,8.31E-84
4.458792802,4.249524404,0.012765865,0.032069292,10.54930316,0.342030792,0.518254727,2.77E-14,0.733769574,0.606579767,3.79E-14,0.884803138,0.751353915,28796.07296,1.66E-80
6.193387989,6.89124406,-0.045604372,-0.106687892,12.83799543,-0.916932966,-1.293853696,2.10E-17,0.363605051,0.20169539,3.87E-17,0.667524484,0.377961392,31289.17501,2.11E-81
7.417202736,9.087502774,-0.114477712,-0.25490718,15.45049236,-2.100633197,-2.821306608,1.29E-20,0.040767057,0.00685601,3.92E-20,0.292120999,0.039551816,37379.91802,2.54E-83
7.07435877,7.257100008,0.076663944,-0.035383268,4.001315761,0.456207469,-0.127001284,0.000209529,0.650227766,0.899451722,0.000214476,0.842597534,0.942354952,3576.035444,4.92E-58
6.707196988,7.729933479,-0.042114614,-0.158432799,11.92348495,-0.7011191,-1.590900425,3.42E-16,0.48649796,0.117972205,5.51E-16,0.749642304,0.265421214,25158.36684,4.75E-79
6.543187753,7.258414549,-0.04282738,-0.109672272,11.77621171,-0.749923324,-1.158326867,5.42E-16,0.456835617,0.252265437,8.57E-16,0.72897418,0.436035951,26487.69998,1.32E-79
8.073839826,7.890511066,-0.00345755,0.029324517,11.44935461,-0.054147177,0.276998356,1.52E-15,0.957034938,0.782929982,2.30E-15,0.983819969,0.870663986,32258.41989,9.88E-82
4.477519616,5.071155667,-0.080368179,-0.087261131,14.34989784,-2.454468773,-1.607434016,2.63E-19,0.017655102,0.114293189,6.32E-19,0.235640959,0.259979451,37732.22934,2.01E-83
6.257309579,6.279154949,0.007662623,-0.004103592,11.63836291,0.153285007,-0.049513692,8.35E-16,0.878794081,0.960708339,1.29E-15,0.954433012,0.97802038,31614.57464,1.63E-81
4.279931208,4.152922371,0.012202276,0.01908912,17.36097267,0.550544734,0.519489301,9.58E-23,0.58441155,0.605725102,4.52E-22,0.807937495,0.750878792,75239.37605,7.19E-91
5.395914159,7.026588877,-0.112489887,-0.248798721,13.72125251,-2.370796128,-3.162771425,1.57E-18,0.021668734,0.00266413,3.37E-18,0.250585297,0.020909631,26098.57565,1.91E-79
6.516693182,5.938355046,-0.006137556,0.092107774,10.35355381,-0.11549157,1.045418114,5.28E-14,0.908520782,0.300886822,7.09E-14,0.96712367,0.487586794,30341.74208,4.53E-81
9.826627307,9.276398381,0.012520035,0.086088224,11.37863874,0.165747882,0.687424675,1.90E-15,0.869027639,0.495010106,2.85E-15,0.94950952,0.666388134,34147.86725,2.40E-82
5.644813697,5.783740564,-0.028388347,-0.019616417,12.15100652,-0.643687487,-0.26828327,1.69E-16,0.522736873,0.789591494,2.82E-16,0.772394179,0.874696908,33055.09744,5.39E-82
4.180060006,4.685049077,0.008291431,-0.080672404,14.67151797,0.280234716,-1.644585108,1.08E-19,0.780460359,0.106365528,2.76E-19,0.907747786,0.24830782,40274.9725,3.98E-84
7.052138534,7.683051803,-0.051377949,-0.095600916,16.12132973,-1.163524101,-1.305868979,2.21E-21,0.250171533,0.197608142,7.76E-21,0.569565557,0.372972703,51464.97811,9.01E-87
6.72007289,8.603305469,-0.167275394,-0.284192748,8.80154267,-1.846958061,-1.892678713,1.03E-11,0.070709685,0.064230626,1.23E-11,0.349644839,0.178125725,11110.22869,3.09E-70
5.522297523,6.311578285,0.002530044,-0.125211824,7.218299472,0.031228892,-0.932207768,2.82E-09,0.975212049,0.355734907,3.11E-09,0.990588434,0.541141026,9375.294448,2.09E-68
8.116718925,8.438823322,-0.044085835,-0.047307316,15.15218898,-0.854326893,-0.55295813,2.89E-20,0.397022438,0.582770376,8.21E-20,0.689924459,0.734423735,49920.68556,1.92E-86
7.057369705,7.832360496,-0.075604638,-0.116382767,10.46907505,-1.090675606,-1.012685928,3.61E-14,0.280674283,0.31611413,4.90E-14,0.597366238,0.502529253,20914.96756,4.67E-77
5.334037598,5.571058788,-0.058200046,-0.032646532,9.308583278,-1.049544108,-0.355102194,1.79E-12,0.299003703,0.72401531,2.20E-12,0.613308018,0.832911259,18669.96754,7.83E-76
8.929236852,10.67450939,0.18033519,-0.291554846,7.243461014,1.320718323,-1.287920093,2.58E-09,0.192643498,0.203737109,2.85E-09,0.513464568,0.380565192,8631.603925,1.62E-67
6.026718293,5.764297677,0.058935838,0.036607235,9.293539184,1.025523727,0.384213047,1.88E-12,0.310080804,0.70245923,2.31E-12,0.623877471,0.81757571,22190.59659,1.07E-77
5.030365236,4.952112465,0.027726323,0.01006303,13.99649924,0.845770873,0.185151882,7.14E-19,0.401733473,0.853863286,1.60E-18,0.69254372,0.914244154,47510.53556,6.57E-86
5.685575398,5.67554998,0.036803747,-0.001505016,9.43682543,0.660452403,-0.016290317,1.15E-12,0.512012601,0.987067991,1.43E-12,0.765656339,0.992413475,21004.86415,4.20E-77
5.791680728,6.33735392,-0.018951779,-0.084826245,11.94185807,-0.385429946,-1.040554031,3.23E-16,0.701563337,0.303117243,5.22E-16,0.869670234,0.489968055,27994.55141,3.35E-80
7.927516082,8.641727756,-0.066982456,-0.107481668,10.96941119,-0.917646311,-0.888152588,7.05E-15,0.363235029,0.37873613,1.01E-14,0.667145046,0.562596631,23799.97201,1.89E-78
9.605996749,11.25386841,-0.065646373,-0.255458648,21.32565625,-1.342588206,-3.151313666,1.14E-26,0.185504455,0.002752567,1.71E-25,0.505993318,0.021414444,77881.72533,3.05E-91
6.701313197,7.874640568,-0.123760876,-0.175421003,15.06775434,-2.555834243,-2.185092532,3.63E-20,0.013698777,0.033623332,1.01E-19,0.223480278,0.115388637,38646.76047,1.11E-83
6.356891395,7.394794938,-0.048162485,-0.160326597,14.91861105,-1.048679217,-2.10561168,5.45E-20,0.29939777,0.040311829,1.47E-19,0.613700112,0.130281401,38658.17044,1.10E-83
7.620887757,7.305210801,-0.064616042,0.055424008,11.07462979,-1.057227211,0.54697168,5.02E-15,0.295518744,0.586845381,7.27E-15,0.610660705,0.737482507,31372.4918,1.97E-81
7.787438365,3.495203966,0.098196031,0.671513862,2.897362162,0.878528211,3.623728843,0.005583103,0.383883964,0.00068184,0.005650336,0.681498419,0.008464769,9799.583432,6.96E-69
8.080633385,9.241230322,-0.085125869,-0.17665151,17.75710732,-1.765369014,-2.209684307,3.64E-23,0.083643766,0.031762092,1.91E-22,0.371791423,0.110917484,56665.59569,8.24E-88
7.054231557,7.339820076,-0.020822601,-0.043479153,16.15590574,-0.494666379,-0.623013446,2.02E-21,0.623014891,0.536123661,7.16E-21,0.827725267,0.699524303,56666.01922,8.24E-88
5.594714162,7.18900884,-0.112265099,-0.243056065,10.20749319,-1.72038784,-2.246606421,8.58E-14,0.091582208,0.029138477,1.13E-13,0.383570929,0.104654585,14833.31481,2.37E-73
6.55811066,7.200813236,-0.03735804,-0.098646145,15.20762701,-0.851521286,-1.356221026,2.48E-20,0.398563439,0.181157346,7.15E-20,0.690568196,0.351973676,45087.23949,2.41E-85
8.402854485,12.07806627,-0.122044896,-0.571791242,13.78021471,-1.502829511,-4.246846132,1.33E-18,0.139209722,9.48E-05,2.87E-18,0.449050851,0.002543454,21608.83981,2.08E-77
6.615021647,6.680441921,-0.006778885,-0.009791023,18.394573,-0.201453255,-0.175502388,7.90E-24,0.841166274,0.861397849,4.89E-23,0.936402161,0.919334563,77976.20398,2.96E-91
5.829891069,5.807555465,0.020327894,0.001829086,11.21818482,0.423792368,0.023000321,3.17E-15,0.67354548,0.981742097,4.67E-15,0.855259951,0.98943808,29806.5008,7.04E-81
5.45011767,5.792463003,-0.022334279,-0.052340756,10.20448224,-0.424650034,-0.600258269,8.66E-14,0.672924208,0.551060963,1.15E-13,0.855109112,0.710958809,21667.06389,1.94E-77
7.361557404,7.71233049,-0.025047527,-0.053447464,11.81527699,-0.414147128,-0.533035132,4.79E-16,0.680547967,0.59638438,7.62E-16,0.858228393,0.744430505,29894.26237,6.55E-81
4.553530647,4.175246093,0.022626256,0.058007952,13.32267556,0.779208347,1.204945379,5.00E-18,0.439550923,0.233929564,1.00E-17,0.717244501,0.415952699,49619.2239,2.23E-86
7.099390948,8.702128212,-0.06526922,-0.24834236,16.97735468,-1.374309298,-3.154029851,2.49E-22,0.175510348,0.002731355,1.07E-21,0.493293742,0.021319266,45091.49619,2.41E-85
8.167174614,8.554890769,-0.03523066,-0.058442451,21.2894219,-0.94624085,-0.946778254,1.24E-26,0.34860286,0.348331608,1.82E-25,0.65641981,0.534090498,97090.02227,1.27E-93
5.318114101,5.369297418,-0.033986521,-0.005249945,9.557416117,-0.652921934,-0.060834262,7.65E-13,0.516815059,0.951735132,9.58E-13,0.768878644,0.973325397,21061.81415,3.92E-77
7.148710215,7.628314462,0.000944407,-0.076034786,11.11290423,0.014848747,-0.721077195,4.44E-15,0.988212286,0.474239782,6.46E-15,0.995216492,0.648301296,25491.08618,3.43E-79
6.930662013,7.701515184,-0.089013648,-0.11460068,11.66778982,-1.455460884,-1.130238426,7.61E-16,0.1518283,0.263799819,1.18E-15,0.46430631,0.448457496,25912.97243,2.28E-79
5.923980487,6.512653658,-0.016687251,-0.091826493,17.01182318,-0.47044537,-1.561461659,2.28E-22,0.640094521,0.124759352,9.89E-22,0.837031373,0.275471455,56279.52568,9.77E-88
4.59510075,4.46289663,0.011695212,0.019954513,9.788723179,0.27685275,0.284918602,3.49E-13,0.783041145,0.776890194,4.45E-13,0.908904528,0.867259842,23874.78936,1.74E-78
8.149102417,8.22288139,-0.047815306,-0.00766636,25.38483616,-1.593121137,-0.15406713,4.06E-30,0.11747256,0.8781806,2.30E-28,0.420354513,0.930245563,148748.9809,3.16E-98
6.454570653,7.348092463,-0.000522433,-0.141464077,14.24733635,-0.010932533,-1.78556509,3.51E-19,0.991321033,0.080270853,8.27E-19,0.996101069,0.205915257,36813.07066,3.72E-83
7.368488808,6.014487946,0.051105924,0.21013991,13.56619016,1.244119234,3.085590118,2.46E-18,0.219290256,0.003315586,5.13E-18,0.541255211,0.024216188,64927.39816,2.80E-89
7.289303464,7.045313316,-0.065954494,0.044183368,16.63269535,-1.680498898,0.679034113,5.93E-22,0.099134586,0.500265739,2.35E-21,0.394206973,0.670802532,69605.18409,4.97E-90
5.391742331,5.843691155,-0.068450889,-0.06582343,12.32964633,-1.55874105,-0.904095536,9.78E-17,0.125402122,0.370305501,1.67E-16,0.432668041,0.554670598,30417.7425,4.25E-81
4.96360364,5.62684808,-0.04876037,-0.100941202,9.820289874,-0.918454468,-1.146827348,3.14E-13,0.36281612,0.256943125,4.01E-13,0.666915464,0.4411343,17638.20717,3.21E-75
6.215590476,7.415987101,-0.092507763,-0.182334301,12.34760554,-1.662353864,-1.976298811,9.26E-17,0.10273579,0.053683258,1.58E-16,0.400137402,0.158084216,25173.72835,4.68E-79
6.549420308,6.698534926,-0.012181284,-0.0225918,11.23469604,-0.22049873,-0.246662305,3.00E-15,0.826385878,0.806185382,4.43E-15,0.928655279,0.885061707,28359.56146,2.42E-80
6.159818118,6.661300631,-0.09076999,-0.071792577,11.52904047,-1.695539589,-0.80888005,1.18E-15,0.096228756,0.422438776,1.80E-15,0.389877722,0.603543072,26714.69952,1.07E-79
7.726273708,9.480212943,-0.097881748,-0.269547825,16.39426978,-1.826868219,-3.034451971,1.09E-21,0.073726688,0.003826593,4.09E-21,0.355272867,0.026607652,41961.43845,1.44E-84
7.051565059,8.026435758,-0.120330621,-0.14427947,9.291707097,-1.503420449,-1.087295942,1.90E-12,0.13905772,0.282150061,2.33E-12,0.448702283,0.468270503,15662.76932,6.14E-74
9.812280856,10.63053747,-0.081042357,-0.12277787,16.21315938,-1.33400056,-1.21899795,1.74E-21,0.188283336,0.228598062,6.25E-21,0.508373475,0.409616413,52638.18943,5.15E-87
7.675976273,6.752333707,-0.01053941,0.147163899,12.53692967,-0.211195716,1.778725901,5.20E-17,0.833597993,0.08140008,9.15E-17,0.932868783,0.20771616,47740.71524,5.83E-86
