"","Iwamoto_BipolarEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_BipolarSamplingVariance","GeneSymbol"
"84",-0.001787894,"10084","PQBP1",0.00521096715187818,"PQBP1"
"85",-0.049768425,"10085","EDIL3",0.00899380178415006,"EDIL3"
"86",-0.006460241,"100861548","PINK1-AS",0.00620165986340678,"PINK1-AS"
"87",0.101703873,"100861554","LINC00563",0.00807347805451913,"LINC00563"
"88",-0.059359515,"100862671","TMEM265",0.00377222144313582,"TMEM265"
"89",-0.070337265,"1009","CDH11",0.0121211767967192,"CDH11"
"90",-0.026358261,"10090","UST",0.0135474840441806,"UST"
"91",-0.075960298,"10092","ARPC5",0.011253553236753,"ARPC5"
"92",-0.05869904,"10093","ARPC4",0.00561985534228739,"ARPC4"
"93",-0.105210966,"10094","ARPC3",0.0200406860764983,"ARPC3"
"94",-0.059780931,"10095","ARPC1B",0.00633069205459421,"ARPC1B"
"95",-0.038603667,"10096","ACTR3",0.0224293839451332,"ACTR3"
"96",0.054251689,"10097","ACTR2",0.015123088658118,"ACTR2"
"97",0.151908589,"10098","TSPAN5",0.0309326113170726,"TSPAN5"
"98",0.017016749,"10099","TSPAN3",0.0119208697199621,"TSPAN3"
"99",-0.01605065,"100996492","CTXND1",0.00777327084484922,"CTXND1"
"100",0.047358843,"101","ADAM8",0.00484490780306225,"ADAM8"
"101",-0.063519839,"1010","CDH12",0.00476215865660664,"CDH12"
"102",0.082527836,"10100","TSPAN2",0.00798403839331621,"TSPAN2"
"103",0.005256243,"10102","TSFM",0.00226373442341048,"TSFM"
"104",-0.042090193,"10103","TSPAN1",0.00528170318980549,"TSPAN1"
"105",-0.111697404,"10105","PPIF",0.00566895501025722,"PPIF"
"106",0.009393549,"10107","TRIM10",0.00633109274902651,"TRIM10"
"107",0.104629428,"10109","ARPC2",0.00482666253936557,"ARPC2"
"108",-0.079359275,"10111","RAD50",0.00367524132550304,"RAD50"
"109",-0.019752277,"10114","HIPK3",0.00436067890681555,"HIPK3"
"110",-0.021196463,"10116","FEM1B",0.010592495556524,"FEM1B"
"111",0.097963292,"1012","CDH13",0.0126785844455869,"CDH13"
"112",-0.099851112,"10120","ACTR1B",0.00719350119297341,"ACTR1B"
"113",-0.056671528,"10121","ACTR1A",0.00893995841845335,"ACTR1A"
"114",-0.011599811,"10123","ARL4C",0.00849694090946044,"ARL4C"
"115",0.014145052,"10125","RASGRP1",0.0137727985093574,"RASGRP1"
"116",-0.085554152,"10126","DNAL4",0.00556402829684765,"DNAL4"
"117",-0.039026127,"10127","ZNF263",0.00562791467142266,"ZNF263"
"118",0.005187926,"10128","LRPPRC",0.00939320036361555,"LRPPRC"
"119",-0.050512119,"10129","FRY",0.00474630170760683,"FRY"
"120",-0.014039577,"1013","CDH15",0.00527900028742322,"CDH15"
"121",0.082526941,"10130","PDIA6",0.00585802322185606,"PDIA6"
"122",0.022406864,"10131","TRAP1",0.00848548636289902,"TRAP1"
"123",0.033300276,"10133","OPTN",0.0101744369092007,"OPTN"
"124",-0.037976872,"10134","BCAP31",0.00497465304610844,"BCAP31"
"125",0.084012413,"10135","NAMPT",0.0116536602024058,"NAMPT"
"126",0.056711222,"10137","RBM12",0.00466173678175985,"RBM12"
"127",0.058859711,"10138","YAF2",0.00407236638538615,"YAF2"
"128",-0.029295909,"10139","ARFRP1",0.00411934199784955,"ARFRP1"
"129",0.044709709,"1014","CDH16",0.00940234825393,"CDH16"
"130",0.091336523,"10140","TOB1",0.0190314473996142,"TOB1"
"131",0.056069477,"10141","LINC01587",0.00421939014162167,"LINC01587"
"132",-0.023130942,"10142","AKAP9",0.0136442880777977,"AKAP9"
"133",-0.021232951,"10144","FAM13A",0.00352331713712151,"FAM13A"
"134",0.033771662,"10146","G3BP1",0.012639104344082,"G3BP1"
"135",0.038884411,"10147","SUGP2",0.00504035974510814,"SUGP2"
"136",-0.026667905,"10149","ADGRG2",0.00468502410007873,"ADGRG2"
"137",-0.001545573,"1015","CDH17",0.00456767495398734,"CDH17"
"138",0.106489152,"10150","MBNL2",0.009500684526363,"MBNL2"
"139",0.055561209,"10152","ABI2",0.00539172941416559,"ABI2"
"140",0.114967554,"10153","CEBPZ",0.00266600941519434,"CEBPZ"
"141",0.026143595,"10154","PLXNC1",0.0181341759226979,"PLXNC1"
"142",-0.023472767,"10155","TRIM28",0.00518655565211825,"TRIM28"
"143",-0.046345503,"10157","AASS",0.00498581070823692,"AASS"
"144",0.033261844,"10158","PDZK1IP1",0.00614588483765107,"PDZK1IP1"
"145",-0.012648307,"10159","ATP6AP2",0.0233648054127203,"ATP6AP2"
"146",0.058539461,"1016","CDH18",0.0156464440235616,"CDH18"
"147",-0.102463413,"10160","FARP1",0.0104150983099871,"FARP1"
"148",-0.014362073,"10162","LPCAT3",0.0158679139936835,"LPCAT3"
"149",-0.057448705,"10165","SLC25A13",0.00645514455210989,"SLC25A13"
"150",0.010925512,"1017","CDK2",0.00368434957594565,"CDK2"
"151",-0.044356315,"10174","SORBS3",0.00405491676046409,"SORBS3"
"152",0.155983125,"10175","CNIH1",0.0148502081952741,"CNIH1"
"153",0.06106786,"10178","TENM1",0.0206910000302517,"TENM1"
"154",0.022007771,"10180","RBM6",0.0089386080714999,"RBM6"
"155",-0.133949941,"10181","RBM5",0.00927512949537813,"RBM5"
