"","Maycox_SchizSamplingVariance","EntrezGeneID","GeneSymbol","Iwamoto_SchizSamplingVariance","GeneSymbol"
"86",0.00237687309335865,"100129271","C1orf68",0.00546689177855077,"C1orf68"
"87",0.0014873334316722,"100129361","SMIM10L1",0.0111071602470249,"SMIM10L1"
"88",0.00145892697484371,"100129387","GABPB1-AS1",NA,NA
"89",0.00209825395084106,"100129427","DDC-AS1",NA,NA
"90",0.002794219752486,"100129455","LOC100129455",NA,NA
"91",0.00289439046703632,"100129460","DPY19L1P1",NA,NA
"92",0.00281184146923629,"100129461","LYRM4-AS1",NA,NA
"93",0.00260711635686113,"100129482","ZNF37BP",NA,NA
"94",0.00252050737731179,"100129503","LOC100129503",NA,NA
"95",0.00656396727982993,"100129516","LINC02012",NA,NA
"96",0.00291351270186181,"100129528","MUC8",0.0125120412494138,"MUC8"
"97",0.00243330580750349,"100129550","LINC02035",NA,NA
"98",0.00427200358736549,"100129597","LINC00462",NA,NA
"99",0.00252805254988783,"100129617","LOC100129617",NA,NA
"100",0.00140743742783073,"100129620","LOC100129620",NA,NA
"101",0.000430869775117251,"100129654","TCF24",NA,NA
"102",0.00225694568323524,"100129662","FGF13-AS1",NA,NA
"103",0.00200482276140427,"100129716","ARRDC3-AS1",NA,NA
"104",0.00208458346617088,"100129722","STPG3-AS1",NA,NA
"105",0.00231362327127022,"100129726","LINC01126",NA,NA
"106",0.00129302854117342,"100129792","CCDC152",NA,NA
"107",0.00105649435531383,"100129794","SLC25A21-AS1",NA,NA
"108",0.00210815334760795,"100129827","MRVI1-AS1",NA,NA
"109",0.00300963239532204,"100129845","PCOLCE-AS1",NA,NA
"110",0.00177687717585139,"100129858","SCOC-AS1",NA,NA
"111",0.00258678931667171,"100129917","LOC100129917",NA,NA
"112",0.00206386370194147,"100129930","RPL10P10",NA,NA
"113",0.00577739358177367,"100129935","LOC100129935",NA,NA
"114",0.00465250389617271,"100129961","CCNT2-AS1",NA,NA
"115",0.00394070246356879,"100129969","FAM205C",NA,NA
"116",0.00434375515563361,"100129973","CERNA1",0.00276755629274979,"CERNA1"
"117",0.00112989648414307,"10013","HDAC6",0.00379731455665696,"HDAC6"
"118",0.00119830126898309,"100130111","LOC100130111",NA,NA
"119",0.00376963500975077,"100130155","MIR124-2HG",NA,NA
"120",0.00108622075189539,"100130172","LOC100130172",NA,NA
"121",0.00273833322094182,"100130249","PP2672",NA,NA
"122",0.00759459256197882,"100130264","LOC100130264",NA,NA
"123",0.00683886083906491,"100130268","LOC100130268",NA,NA
"124",0.00229988243047103,"100130275","TFAP2A-AS1",NA,NA
"125",0.00251215886411707,"100130331","LOC100130331",NA,NA
"126",0.00630932958906969,"100130335","NAP1L1P3",NA,NA
"127",0.00253131662745147,"100130357","LOC100130357",NA,NA
"128",0.00128610540349639,"100130417","LINC02593",NA,NA
"129",0.00544408883565551,"100130418","CECR7",0.0199631298245447,"CECR7"
"130",0.00587312106417898,"100130449","LOC100130449",0.0156911506100582,"LOC100130449"
"131",0.00377921108510888,"100130452","LOC100130452",NA,NA
"132",0.00138631951392185,"100130460","CAND1.11",NA,NA
"133",0.00105951616679646,"100130476","WAKMAR2",NA,NA
"134",0.00124907273146379,"100130519","TMEM221",NA,NA
"135",0.00140581703988659,"100130522","PARD6G-AS1",NA,NA
"136",0.00138309431966726,"100130548","LOC100130548",NA,NA
"137",0.00289218492121867,"100130557","NFYC-AS1",NA,NA
"138",0.000908912525132001,"100130581","LINC00910",NA,NA
"139",0.00197062594962704,"100130613","PRR32",NA,NA
"140",0.00683852051162346,"100130624","RPL15P22",0.00858118677448311,"RPL15P22"
"141",0.00301497723360259,"100130683","LOC100130683",NA,NA
"142",0.000780588638345573,"100130691","LOC100130691",NA,NA
"143",0.00352486798053475,"100130700","TP53TG3HP",NA,NA
"144",0.00710753651507833,"100130705","ATP6V1FNB",NA,NA
"145",0.00161320249012166,"100130717","HDHD5-AS1",NA,NA
"146",0.00116321364686907,"100130733","LRRC70",NA,NA
"147",0.00324522865274735,"100130776","AGAP2-AS1",NA,NA
"148",0.00100249961526614,"100130855","USP3-AS1",NA,NA
"149",0.00248612352107016,"100130872","LOC100130872",NA,NA
"150",0.00122140593632914,"100130889","PSORS1C3",NA,NA
"151",0.00580676632117524,"100130890","TSTD3",NA,NA
"152",0.00887654565187991,"100130894","VAC14-AS1",NA,NA
"153",0.00324455092120311,"100130922","RPL22P22",NA,NA
"154",0.00346729775000064,"100130933","SMIM6",NA,NA
"155",0.00208500543547073,"100130950","LOC100130950",NA,NA
"156",0.00301029572460627,"100130958","SYCE1L",NA,NA
"157",0.00138294201270138,"100130964","LOC100130964",NA,NA
"158",0.00130412333381925,"100130967","C6orf99",NA,NA
"159",0.0151947572337375,"100130987","LOC100130987",NA,NA
"160",0.000850886224404103,"100130992","LOC100130992",NA,NA
"161",0.00446272799544707,"100131017","ZNF316",NA,NA
"162",0.00569977941158991,"100131067","CKMT2-AS1",NA,NA
"163",0.00262760883769374,"100131117","ZBTB20-AS1",NA,NA
"164",0.00578336923124697,"100131138","LINC01405",NA,NA
"165",0.00691302900856665,"100131187","TSTD1",NA,NA
"166",0.0017767240094037,"100131211","NEMP2",NA,NA
"167",0.0025507827629634,"100131213","ZNF503-AS2",NA,NA
"168",0.0019097353707918,"100131303","DPEP2NB",NA,NA
"169",0.00389489051121597,"100131347","RDM1P5",NA,NA
"170",0.00267375754062536,"100131366","LINC00605",NA,NA
"171",0.00531404049792699,"100131434","LINC00893",NA,NA
"172",0.00167156063839469,"100131454","DBIL5P",NA,NA
"173",0.000977679043258859,"100131496","LOC100131496",NA,NA
"174",0.00337740797260421,"100131532","LOC100131532",NA,NA
"175",0.00171316925127183,"100131561","FKSG29",NA,NA
"176",0.00818278512851155,"100131564","CCDC18-AS1",NA,NA
"177",0.00251265126647499,"100131655","ZNF236-DT",NA,NA
"178",0.00379922400064129,"100131689","LOC100131689",NA,NA
"179",0.00119645085046052,"100131691","MZF1-AS1",NA,NA
"180",0.00170354395830092,"100131733","USP30-AS1",NA,NA
"181",0.000989362386145391,"100131755","ARMCX4",0.0043905620901282,"ARMCX4"
"182",0.00488579699392469,"100131801","PET100",NA,NA
"183",0.00112058361702136,"100131814","LINC00271",NA,NA
"184",0.00327348833726036,"100131816","UBE2DNL",NA,NA
"185",0.004920000300742,"100131825","CADM3-AS1",0.00609600660890682,"CADM3-AS1"
"186",0.00249735862651891,"100131827","ZNF717",NA,NA
"187",0.0146801828066603,"100131897","INSYN2B",NA,NA
"188",0.0096401943320147,"100131998","RRN3P3",NA,NA
"189",0.00178481972859958,"100132057","LOC100132057",NA,NA
"190",0.00618760292018907,"100132074","FOXO6",NA,NA
"191",0.0031112105196254,"100132078","LOC100132078",NA,NA
"192",0.00298536512605595,"100132111","C2CD4D-AS1",NA,NA
"193",0.00180250740974472,"100132116","ACTA2-AS1",NA,NA
"194",0.00322514957214274,"100132234","LINC00543",NA,NA
"195",0.00139972369894499,"100132341","CLUHP3",NA,NA
"196",0.0026250595946779,"100132354","LINC01512",NA,NA
"197",0.0036603706148711,"100132356","LOC100132356",NA,NA
"198",0.00359253174667125,"100132386","KRTAP4-9",NA,NA
"199",0.0150521129496115,"100132464","FAM99B",NA,NA
"200",0.00102158541662595,"100132476","KRTAP4-7",NA,NA
"201",0.00323696646474129,"100132570","LOC100132570",NA,NA
"202",0.0024162756379241,"100132596","XGY2",NA,NA
"203",0.00398762449419977,"100132618","ZRANB2-AS1",NA,NA
"204",0.00285012443280976,"100132677","BSN-DT",NA,NA
"205",0.00420072814337727,"100132686","LOC100132686",NA,NA
"206",0.00368527165447056,"100132707","PAXIP1-AS2",NA,NA
"207",0.000908796406906916,"100132735","FILNC1",NA,NA
"208",0.00578229842085297,"100132815","IPO5P1",NA,NA
"209",0.00566428992893241,"100132891","MSC-AS1",NA,NA
"210",0.00190389110494283,"100132987","LINC00856",NA,NA
"211",0.00330754576609802,"100133190","ADIRF-AS1",NA,NA
"212",0.0021481862734331,"100133205","LINC00240",NA,NA
"213",0.00127634662909724,"100133308","RSU1P2",NA,NA
"214",0.00574450513657976,"100133311","HOXA-AS3",NA,NA
"215",0.0024972726686224,"100133319","PRO1804",NA,NA
"216",0.00214116253218278,"100133461","LINC02171",NA,NA
"217",0.00252044873881235,"100133612","LINC01134",NA,NA
"218",0.014698545517159,"100133941","CD24",0.0126006828105897,"CD24"
"219",0.00283974809600537,"100133985","LINC01816",NA,NA
"220",0.00137693034383664,"100133991","MAP3K14-AS1",NA,NA
"221",0.00163023422376375,"100134229","KDM7A-DT",NA,NA
"222",0.0032052777913402,"100134259","LINC01119",NA,NA
"223",0.00118061918967021,"100134368","LOC100134368",NA,NA
"224",0.0017288445619018,"100134713","NDUFB2-AS1",NA,NA
"225",0.00237760252706241,"100137047","JMJD7",NA,NA
"226",0.00156320993338012,"10014","HDAC5",0.00519774426235696,"HDAC5"
"227",0.00221047869589966,"100141515","C17orf99",NA,NA
"228",0.00244229419192619,"100144596","LINC00029",NA,NA
"229",0.00142349954203462,"100144597","LINC01056",NA,NA
"230",0.00720799853083926,"100144602","EPHA5-AS1",NA,NA
"231",0.00286182639148142,"100144603","CHKB-DT",NA,NA
"232",0.00131646893409949,"100144604","LINC00930",NA,NA
"233",0.00295865942571766,"100144748","KLLN",NA,NA
"234",0.00419795141918874,"100147773","TMCO1-AS1",NA,NA
"235",0.00196987741992626,"10015","PDCD6IP",NA,NA
"236",0.00390073806506972,"10016","PDCD6",0.008161578306659,"PDCD6"
"237",0.000887845049362466,"100169752","TEX36-AS1",NA,NA
"238",0.0214616657076411,"100169890","PEG3-AS1",NA,NA
"239",0.00679619836382059,"100169989","DBIL5P2",NA,NA
"240",0.00156317608483577,"10017","BCL2L10",NA,NA
"241",0.00412637298807352,"100170229","SRRM5",NA,NA
"242",0.00139146383673296,"100170765","ERICH4",NA,NA
"243",0.00337225913237647,"100170841","EPOP",NA,NA
"244",0.000854860444663421,"10018","BCL2L11",0.00248513808124703,"BCL2L11"
"245",0.00111738775012482,"100188893","TOMM6",NA,NA
"246",0.0016255979925512,"100188953","LINC00092",NA,NA
"247",0.00598864165585043,"100189589","DCTN1-AS1",NA,NA
"248",0.00435793427901417,"10019","SH2B3",0.00832319193691967,"SH2B3"
"249",0.00387103460845291,"100190938","RAMP2-AS1",NA,NA
"250",0.00296013934513096,"100190939","TPT1-AS1",NA,NA
"251",0.00381690628795859,"100192378","ZFHX4-AS1",NA,NA
"252",0.00284488858664571,"100192379","PP12613",NA,NA
"253",0.00594534322095285,"100192386","FLJ16779",NA,NA
"254",0.00302048488286767,"1002","CDH4",0.00302786470451626,"CDH4"
"255",0.00527636273250973,"10020","GNE",0.00662386265117863,"GNE"
"256",0.00136034206533764,"10021","HCN4",0.00406278245830336,"HCN4"
"257",0.0054910262497471,"100216545","KMT2E-AS1",NA,NA
"258",0.00110086480399815,"100216546","LINC01004",NA,NA
"259",0.00117682591100528,"10022","INSL5",NA,NA
"260",0.00378736598540315,"10023","FRAT1",NA,NA
"261",0.00269460797868994,"10024","TROAP",0.00555546505896763,"TROAP"
"262",0.0016157842307845,"100240728","LOC100240728",NA,NA
"263",0.0019380294595441,"10025","MED16",NA,NA
"264",0.00519665433342857,"10026","PIGK",0.00252459083023061,"PIGK"
"265",0.00378771121975968,"100268168","LOC100268168",NA,NA
"266",0.00108200327355526,"100270679","LINC01432",NA,NA
"267",0.00233759716419823,"100270804","LINC00653",NA,NA
"268",0.00361684976600653,"100270972","RPL29P7",NA,NA
"269",0.00172447426759389,"100271043","RPL7AP29",NA,NA
"270",0.00186594496856725,"100271285","RPL18AP10",NA,NA
"271",0.00128944381025645,"100271291","RPL23AP22",NA,NA
"272",0.00154209684940263,"100271399","RPL7AP71",NA,NA
"273",0.00109483567826999,"100271722","LINC00899",NA,NA
"274",0.00233765302718903,"100272147","CMC4",0.00573508208113998,"CMC4"
"275",0.000529396813792171,"100272217","LOC100272217",NA,NA
"276",0.00500316657528428,"100272228","LINC00894",NA,NA
"277",0.00195612863321791,"100286844","BCDIN3D-AS1",NA,NA
"278",0.00483796815552449,"100286922","LOC100286922",NA,NA
"279",0.00525731600690296,"100286925","LOC100286925",NA,NA
"280",0.00368226932807735,"100286938","VPS13A-AS1",NA,NA
"281",0.00120191746732193,"100287015","LOC100287015",NA,NA
"282",0.00730138535972407,"100287098","TONSL-AS1",NA,NA
"283",0.00315382915908363,"100287114","LINC00421",NA,NA
"284",0.00183997472684141,"100287177","EML2-AS1",NA,NA
"285",0.000972001298596293,"100287216","SH3RF3-AS1",NA,NA
"286",0.00160975655946193,"100287227","TIPARP-AS1",NA,NA
"287",0.00219327261370892,"100287290","LOC100287290",NA,NA
"288",0.00163209529518844,"100287366","OSTM1-AS1",NA,NA
"289",0.00134560243906503,"100287387","LOC100287387",0.00352458933267592,"LOC100287387"
"290",0.00282911516966274,"100287467","LOC100287467",NA,NA
"291",0.00398899139045899,"100287482","SMKR1",NA,NA
"292",0.00223324539375757,"100287569","LINC00173",NA,NA
"293",0.00262059015242588,"100287616","LOXL1-AS1",NA,NA
"294",0.0020156752450042,"100287765","LINC00630",NA,NA
"295",0.00443925320436354,"100287808","LOC100287808",NA,NA
"296",0.0032529123624026,"100287814","LINC00582",NA,NA
"297",0.00620540855982051,"100287896","LOC100287896",NA,NA
"298",0.00287053657654183,"100287902","LGALS8-AS1",NA,NA
"299",0.00250282803058315,"100287932","TIMM23",NA,NA
"300",0.0030855195644722,"100288079","GS1-279B7.1",NA,NA
"301",0.0012574587819736,"100288122","LDLRAD4-AS1",NA,NA
"302",0.0045315574366303,"100288123","LOC100288123",NA,NA
"303",0.0128992933680266,"100288152","SLC9A3-AS1",NA,NA
"304",0.000736101661810351,"100288198","HMGN3-AS1",NA,NA
"305",0.0013411704878955,"100288413","ERVMER34-1",NA,NA
"306",0.00142244765751394,"100288432","IL10RB-DT",NA,NA
"307",0.0776999437955181,"100288637","LOC100288637",NA,NA
"308",0.00228183344516147,"100288730","PAN3-AS1",NA,NA
"309",0.00118914574527692,"100288797","TMEM239",NA,NA
"310",0.00474900517371418,"100288911","CRIM1-DT",NA,NA
"311",0.00175513665556176,"100289019","SLC25A25-AS1",NA,NA
"312",0.00224559636515814,"100289061","ADAMTSL4-AS2",NA,NA
"313",0.00403190705799894,"100289092","ATP2A1-AS1",NA,NA
"314",0.0449184058341075,"100289097","FRG1CP",NA,NA
"315",0.0036946413016531,"100289098","GS1-124K5.4",NA,NA
"316",0.00378352148659844,"100289187","TMEM225B",NA,NA
"317",0.00295047338645762,"100289230","LOC100289230",NA,NA
"318",0.0016469770397821,"100289255","TMEM238L",NA,NA
"319",0.00347712978262726,"100289274","DNAJC3-DT",NA,NA
"320",0.0149516441371636,"100289341","MAN1B1-DT",NA,NA
"321",0.00432550904674612,"100289361","LOC100289361",NA,NA
"322",0.00138936223929891,"100289373","UBAC2-AS1",NA,NA
"323",0.00103886769132642,"100289410","MCF2L-AS1",NA,NA
"324",0.00484531934743758,"100289495","LOC100289495",NA,NA
"325",0.00762718259393106,"100289509","KCNIP2-AS1",NA,NA
"326",0.00674118732572431,"100289635","ZNF605",NA,NA
"327",0.000958813765315347,"100289678","ZNF783",NA,NA
"328",0.00201498681550366,"100292680","LINC00942",NA,NA
"329",0.00379361904966403,"100293516","ZNF587B",NA,NA
"330",0.00153379723372836,"100294362","RNF213-AS1",NA,NA
"331",0.00137989413336099,"100294720","NHEG1",NA,NA
"332",0.0222640456583752,"1003","CDH5",0.00467704611309402,"CDH5"
"333",0.0020698551062497,"100302522","PTCSC1",NA,NA
"334",0.00231307923624938,"100302650","BABAM2-AS1",NA,NA
"335",0.00154605806081265,"100302691","LINC00184",NA,NA
"336",0.00154607930188134,"100302740","FAS-AS1",NA,NA
"337",0.00238684146265056,"100303728","SLC25A5-AS1",NA,NA
"338",0.00676524395316131,"100303755","PET117",NA,NA
"339",0.00367574339936842,"100306951","PITPNA-AS1",NA,NA
"340",0.000944598819899745,"100309464","OTX2-AS1",NA,NA
"341",0.00185055041004707,"100310756","LOC100310756",NA,NA
"342",0.00447039509172829,"100310838","VDAC1P3",0.00387766760827251,"VDAC1P3"
"343",0.00183823590454451,"100310840","VDAC1P8",NA,NA
"344",0.013325450642302,"100310850","SNRPCP11",NA,NA
"345",0.00112816928302385,"100316868","HOTTIP",NA,NA
"346",0.00444581750655117,"100316904","SAP25",0.0156717323910699,"SAP25"
"347",0.00360494242502969,"100329135","TRPC5OS",NA,NA
"348",0.00082789606052777,"100359394","LINC00102",NA,NA
"349",0.00161123214222392,"10036","CHAF1A",0.00392912839450461,"CHAF1A"
"350",0.00173816350256118,"100379174","MACROD2-AS1",NA,NA
"351",0.00230071596317461,"100379224","LOC100379224",NA,NA
"352",0.00118650694329639,"100379661","GRIK1-AS2",NA,NA
"353",0.00427622815882572,"10038","PARP2",0.00735458533396788,"PARP2"
"354",0.00158426021121228,"100381270","ZBED6",NA,NA
"355",0.00215943996902697,"10039","PARP3",0.00246953174451679,"PARP3"
"356",0.00101239480565819,"1004","CDH6",0.00307696549831265,"CDH6"
"357",0.00167731517209198,"10040","TOM1L1",0.00653691299728969,"TOM1L1"
"358",0.00353171145037628,"100419583","LOC100419583",NA,NA
"359",0.00249811775365156,"100419702","LOC100419702",NA,NA
"360",0.00194378750916672,"10042","HMGXB4",0.00464779180036197,"HMGXB4"
"361",0.00388708758526343,"100420228","LOC100420228",NA,NA
"362",0.00779783440070635,"100421341","UBE2V2P3",NA,NA
"363",0.00219639451748113,"100421372","LOC100421372",NA,NA
"364",0.00266100197153424,"100421436","UBE2FP1",NA,NA
"365",0.0065763320509476,"100421641","LOC100421641",NA,NA
"366",0.00148166999208378,"100422212","LOC100422212",NA,NA
"367",0.00197474428679673,"100422478","LOC100422478",NA,NA
"368",0.0027308536944816,"100422623","LOC100422623",NA,NA
"369",0.00153204695927772,"100422737","LINC02532",NA,NA
"370",0.00208705897584712,"10043","TOM1",0.00874480058274287,"TOM1"
"371",0.0022540994201072,"10044","SH2D3C",NA,NA
"372",0.00121759890180415,"10045","SH2D3A",NA,NA
"373",0.00243981519185372,"10046","MAMLD1",0.00761515874178895,"MAMLD1"
"374",0.00196753573607858,"10047","CST8",NA,NA
"375",0.00444040421067548,"10048","RANBP9",0.00707423799150877,"RANBP9"
