"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizEffectSize","GeneSymbol"
"107",-0.016771849,"100129794","SLC25A21-AS1",NA,NA
"108",-0.024522419,"100129827","MRVI1-AS1",NA,NA
"109",-0.063176897,"100129845","PCOLCE-AS1",NA,NA
"110",-0.026951997,"100129858","SCOC-AS1",NA,NA
"111",-0.018754966,"100129917","LOC100129917",NA,NA
"112",-0.076250853,"100129930","RPL10P10",NA,NA
"113",-0.139612836,"100129935","LOC100129935",NA,NA
"114",-0.016885233,"100129961","CCNT2-AS1",NA,NA
"115",-0.063540819,"100129969","FAM205C",NA,NA
"116",0.031846313,"100129973","CERNA1",-0.033688594,"CERNA1"
"117",-0.085768935,"10013","HDAC6",-0.080138036,"HDAC6"
"118",-0.040086868,"100130111","LOC100130111",NA,NA
"119",0.139642635,"100130155","MIR124-2HG",NA,NA
"120",-0.004378918,"100130172","LOC100130172",NA,NA
"121",-0.052354584,"100130249","PP2672",NA,NA
"122",0.039626768,"100130264","LOC100130264",NA,NA
"123",0.00414256,"100130268","LOC100130268",NA,NA
"124",-0.02670633,"100130275","TFAP2A-AS1",NA,NA
"125",0.009277375,"100130331","LOC100130331",NA,NA
"126",0.049403811,"100130335","NAP1L1P3",NA,NA
"127",0.015907006,"100130357","LOC100130357",NA,NA
"128",-0.017598073,"100130417","LINC02593",NA,NA
"129",-0.086422391,"100130418","CECR7",-0.053776431,"CECR7"
"130",-0.073924458,"100130449","LOC100130449",-0.1804276,"LOC100130449"
"131",-0.008162204,"100130452","LOC100130452",NA,NA
"132",0.020806601,"100130460","CAND1.11",NA,NA
"133",0.009511843,"100130476","WAKMAR2",NA,NA
"134",-0.126724219,"100130519","TMEM221",NA,NA
"135",-0.020008412,"100130522","PARD6G-AS1",NA,NA
"136",-0.029302953,"100130548","LOC100130548",NA,NA
"137",-0.094438329,"100130557","NFYC-AS1",NA,NA
"138",0.022087618,"100130581","LINC00910",NA,NA
"139",-0.089284862,"100130613","PRR32",NA,NA
"140",-0.003130965,"100130624","RPL15P22",0.122827779,"RPL15P22"
"141",-0.028388466,"100130683","LOC100130683",NA,NA
"142",-0.011088999,"100130691","LOC100130691",NA,NA
"143",0.01188722,"100130700","TP53TG3HP",NA,NA
"144",0.045965218,"100130705","ATP6V1FNB",NA,NA
"145",-0.0725423,"100130717","HDHD5-AS1",NA,NA
"146",-0.036503883,"100130733","LRRC70",NA,NA
"147",-0.035039294,"100130776","AGAP2-AS1",NA,NA
"148",0.040560286,"100130855","USP3-AS1",NA,NA
"149",-0.103901294,"100130872","LOC100130872",NA,NA
"150",-0.037815411,"100130889","PSORS1C3",NA,NA
"151",-0.111059915,"100130890","TSTD3",NA,NA
"152",-0.077851448,"100130894","VAC14-AS1",NA,NA
"153",-0.085948034,"100130922","RPL22P22",NA,NA
"154",-0.062044976,"100130933","SMIM6",NA,NA
"155",-0.005303562,"100130950","LOC100130950",NA,NA
"156",-0.041636399,"100130958","SYCE1L",NA,NA
"157",-0.041658348,"100130964","LOC100130964",NA,NA
"158",-0.014477234,"100130967","C6orf99",NA,NA
"159",-0.220426337,"100130987","LOC100130987",NA,NA
"160",-0.015755554,"100130992","LOC100130992",NA,NA
"161",-0.066736855,"100131017","ZNF316",NA,NA
"162",0.065931221,"100131067","CKMT2-AS1",NA,NA
"163",-0.041986935,"100131117","ZBTB20-AS1",NA,NA
"164",-0.10640339,"100131138","LINC01405",NA,NA
"165",0.219095501,"100131187","TSTD1",NA,NA
"166",-0.054177525,"100131211","NEMP2",NA,NA
"167",-0.167723975,"100131213","ZNF503-AS2",NA,NA
"168",-0.091312869,"100131303","DPEP2NB",NA,NA
"169",-0.05996495,"100131347","RDM1P5",NA,NA
"170",-0.035775372,"100131366","LINC00605",NA,NA
"171",-0.10110633,"100131434","LINC00893",NA,NA
"172",0.024208529,"100131454","DBIL5P",NA,NA
"173",-0.035396098,"100131496","LOC100131496",NA,NA
"174",-0.061226492,"100131532","LOC100131532",NA,NA
"175",-0.016770262,"100131561","FKSG29",NA,NA
"176",-0.10115392,"100131564","CCDC18-AS1",NA,NA
"177",0.001702074,"100131655","ZNF236-DT",NA,NA
"178",0.038936028,"100131689","LOC100131689",NA,NA
"179",-0.016996168,"100131691","MZF1-AS1",NA,NA
"180",-0.076693688,"100131733","USP30-AS1",NA,NA
"181",0.009303417,"100131755","ARMCX4",0.057912034,"ARMCX4"
"182",0.081784552,"100131801","PET100",NA,NA
"183",-0.04228496,"100131814","LINC00271",NA,NA
"184",-0.068570712,"100131816","UBE2DNL",NA,NA
"185",-0.081006478,"100131825","CADM3-AS1",0.036734435,"CADM3-AS1"
"186",0.156674295,"100131827","ZNF717",NA,NA
"187",0.088379434,"100131897","INSYN2B",NA,NA
"188",-0.006029059,"100131998","RRN3P3",NA,NA
"189",-0.058190448,"100132057","LOC100132057",NA,NA
"190",0.005560589,"100132074","FOXO6",NA,NA
"191",-0.019523297,"100132078","LOC100132078",NA,NA
"192",-0.044179596,"100132111","C2CD4D-AS1",NA,NA
"193",-0.099657592,"100132116","ACTA2-AS1",NA,NA
"194",-0.013731361,"100132234","LINC00543",NA,NA
"195",0.007036908,"100132341","CLUHP3",NA,NA
