"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Maycox_SchizSamplingVariance","GeneSymbol"
"79",-0.032113613,"100129098","LOC100129098",0.00152679070581409,"LOC100129098"
"80",-0.027916518,"100129128","KHDC1L",0.0030005527772438,"KHDC1L"
"81",-0.02429186,"100129129","LOC100129129",0.00416372688564018,"LOC100129129"
"82",-0.060942144,"100129175","LOC100129175",0.00363844465272455,"LOC100129175"
"83",-0.006136967,"100129195","ZSCAN16-AS1",0.00130710496848886,"ZSCAN16-AS1"
"84",0.017135349,"100129196","MATN1-AS1",0.00185586735495257,"MATN1-AS1"
"85",-0.047539396,"100129250","SMIM27",0.000972733862236208,"SMIM27"
"86",0.018702311,"100129271","C1orf68",0.00237687309335865,"C1orf68"
"87",0.016781073,"100129361","SMIM10L1",0.0014873334316722,"SMIM10L1"
"88",-0.080382481,"100129387","GABPB1-AS1",0.00145892697484371,"GABPB1-AS1"
"89",-0.059848242,"100129427","DDC-AS1",0.00209825395084106,"DDC-AS1"
"90",-0.075544153,"100129455","LOC100129455",0.002794219752486,"LOC100129455"
"91",-0.056096277,"100129460","DPY19L1P1",0.00289439046703632,"DPY19L1P1"
"92",-0.026907097,"100129461","LYRM4-AS1",0.00281184146923629,"LYRM4-AS1"
"93",-0.096462582,"100129482","ZNF37BP",0.00260711635686113,"ZNF37BP"
"94",-0.090501303,"100129503","LOC100129503",0.00252050737731179,"LOC100129503"
"95",-0.108038219,"100129516","LINC02012",0.00656396727982993,"LINC02012"
"96",-0.067787987,"100129528","MUC8",0.00291351270186181,"MUC8"
"97",-0.041953721,"100129550","LINC02035",0.00243330580750349,"LINC02035"
"98",-0.095075808,"100129597","LINC00462",0.00427200358736549,"LINC00462"
"99",0.007397147,"100129617","LOC100129617",0.00252805254988783,"LOC100129617"
"100",-0.021604185,"100129620","LOC100129620",0.00140743742783073,"LOC100129620"
"101",-0.019550681,"100129654","TCF24",0.000430869775117251,"TCF24"
"102",0.020966107,"100129662","FGF13-AS1",0.00225694568323524,"FGF13-AS1"
"103",-0.033934498,"100129716","ARRDC3-AS1",0.00200482276140427,"ARRDC3-AS1"
"104",-0.068002189,"100129722","STPG3-AS1",0.00208458346617088,"STPG3-AS1"
"105",-0.016335081,"100129726","LINC01126",0.00231362327127022,"LINC01126"
"106",-0.011984885,"100129792","CCDC152",0.00129302854117342,"CCDC152"
"107",-0.016771849,"100129794","SLC25A21-AS1",0.00105649435531383,"SLC25A21-AS1"
"108",-0.024522419,"100129827","MRVI1-AS1",0.00210815334760795,"MRVI1-AS1"
"109",-0.063176897,"100129845","PCOLCE-AS1",0.00300963239532204,"PCOLCE-AS1"
"110",-0.026951997,"100129858","SCOC-AS1",0.00177687717585139,"SCOC-AS1"
"111",-0.018754966,"100129917","LOC100129917",0.00258678931667171,"LOC100129917"
"112",-0.076250853,"100129930","RPL10P10",0.00206386370194147,"RPL10P10"
"113",-0.139612836,"100129935","LOC100129935",0.00577739358177367,"LOC100129935"
"114",-0.016885233,"100129961","CCNT2-AS1",0.00465250389617271,"CCNT2-AS1"
"115",-0.063540819,"100129969","FAM205C",0.00394070246356879,"FAM205C"
"116",0.031846313,"100129973","CERNA1",0.00434375515563361,"CERNA1"
"117",-0.085768935,"10013","HDAC6",0.00112989648414307,"HDAC6"
"118",-0.040086868,"100130111","LOC100130111",0.00119830126898309,"LOC100130111"
"119",0.139642635,"100130155","MIR124-2HG",0.00376963500975077,"MIR124-2HG"
"120",-0.004378918,"100130172","LOC100130172",0.00108622075189539,"LOC100130172"
"121",-0.052354584,"100130249","PP2672",0.00273833322094182,"PP2672"
"122",0.039626768,"100130264","LOC100130264",0.00759459256197882,"LOC100130264"
"123",0.00414256,"100130268","LOC100130268",0.00683886083906491,"LOC100130268"
"124",-0.02670633,"100130275","TFAP2A-AS1",0.00229988243047103,"TFAP2A-AS1"
"125",0.009277375,"100130331","LOC100130331",0.00251215886411707,"LOC100130331"
"126",0.049403811,"100130335","NAP1L1P3",0.00630932958906969,"NAP1L1P3"
"127",0.015907006,"100130357","LOC100130357",0.00253131662745147,"LOC100130357"
"128",-0.017598073,"100130417","LINC02593",0.00128610540349639,"LINC02593"
"129",-0.086422391,"100130418","CECR7",0.00544408883565551,"CECR7"
"130",-0.073924458,"100130449","LOC100130449",0.00587312106417898,"LOC100130449"
"131",-0.008162204,"100130452","LOC100130452",0.00377921108510888,"LOC100130452"
"132",0.020806601,"100130460","CAND1.11",0.00138631951392185,"CAND1.11"
"133",0.009511843,"100130476","WAKMAR2",0.00105951616679646,"WAKMAR2"
"134",-0.126724219,"100130519","TMEM221",0.00124907273146379,"TMEM221"
"135",-0.020008412,"100130522","PARD6G-AS1",0.00140581703988659,"PARD6G-AS1"
"136",-0.029302953,"100130548","LOC100130548",0.00138309431966726,"LOC100130548"
"137",-0.094438329,"100130557","NFYC-AS1",0.00289218492121867,"NFYC-AS1"
"138",0.022087618,"100130581","LINC00910",0.000908912525132001,"LINC00910"
"139",-0.089284862,"100130613","PRR32",0.00197062594962704,"PRR32"
"140",-0.003130965,"100130624","RPL15P22",0.00683852051162346,"RPL15P22"
"141",-0.028388466,"100130683","LOC100130683",0.00301497723360259,"LOC100130683"
"142",-0.011088999,"100130691","LOC100130691",0.000780588638345573,"LOC100130691"
"143",0.01188722,"100130700","TP53TG3HP",0.00352486798053475,"TP53TG3HP"
"144",0.045965218,"100130705","ATP6V1FNB",0.00710753651507833,"ATP6V1FNB"
"145",-0.0725423,"100130717","HDHD5-AS1",0.00161320249012166,"HDHD5-AS1"
"146",-0.036503883,"100130733","LRRC70",0.00116321364686907,"LRRC70"
"147",-0.035039294,"100130776","AGAP2-AS1",0.00324522865274735,"AGAP2-AS1"
"148",0.040560286,"100130855","USP3-AS1",0.00100249961526614,"USP3-AS1"
"149",-0.103901294,"100130872","LOC100130872",0.00248612352107016,"LOC100130872"
"150",-0.037815411,"100130889","PSORS1C3",0.00122140593632914,"PSORS1C3"
"151",-0.111059915,"100130890","TSTD3",0.00580676632117524,"TSTD3"
"152",-0.077851448,"100130894","VAC14-AS1",0.00887654565187991,"VAC14-AS1"
"153",-0.085948034,"100130922","RPL22P22",0.00324455092120311,"RPL22P22"
"154",-0.062044976,"100130933","SMIM6",0.00346729775000064,"SMIM6"
"155",-0.005303562,"100130950","LOC100130950",0.00208500543547073,"LOC100130950"
"156",-0.041636399,"100130958","SYCE1L",0.00301029572460627,"SYCE1L"
"157",-0.041658348,"100130964","LOC100130964",0.00138294201270138,"LOC100130964"
"158",-0.014477234,"100130967","C6orf99",0.00130412333381925,"C6orf99"
"159",-0.220426337,"100130987","LOC100130987",0.0151947572337375,"LOC100130987"
"160",-0.015755554,"100130992","LOC100130992",0.000850886224404103,"LOC100130992"
"161",-0.066736855,"100131017","ZNF316",0.00446272799544707,"ZNF316"
"162",0.065931221,"100131067","CKMT2-AS1",0.00569977941158991,"CKMT2-AS1"
"163",-0.041986935,"100131117","ZBTB20-AS1",0.00262760883769374,"ZBTB20-AS1"
"164",-0.10640339,"100131138","LINC01405",0.00578336923124697,"LINC01405"
"165",0.219095501,"100131187","TSTD1",0.00691302900856665,"TSTD1"
"166",-0.054177525,"100131211","NEMP2",0.0017767240094037,"NEMP2"
"167",-0.167723975,"100131213","ZNF503-AS2",0.0025507827629634,"ZNF503-AS2"
"168",-0.091312869,"100131303","DPEP2NB",0.0019097353707918,"DPEP2NB"
"169",-0.05996495,"100131347","RDM1P5",0.00389489051121597,"RDM1P5"
"170",-0.035775372,"100131366","LINC00605",0.00267375754062536,"LINC00605"
"171",-0.10110633,"100131434","LINC00893",0.00531404049792699,"LINC00893"
"172",0.024208529,"100131454","DBIL5P",0.00167156063839469,"DBIL5P"
"173",-0.035396098,"100131496","LOC100131496",0.000977679043258859,"LOC100131496"
"174",-0.061226492,"100131532","LOC100131532",0.00337740797260421,"LOC100131532"
"175",-0.016770262,"100131561","FKSG29",0.00171316925127183,"FKSG29"
"176",-0.10115392,"100131564","CCDC18-AS1",0.00818278512851155,"CCDC18-AS1"
"177",0.001702074,"100131655","ZNF236-DT",0.00251265126647499,"ZNF236-DT"
"178",0.038936028,"100131689","LOC100131689",0.00379922400064129,"LOC100131689"
"179",-0.016996168,"100131691","MZF1-AS1",0.00119645085046052,"MZF1-AS1"
"180",-0.076693688,"100131733","USP30-AS1",0.00170354395830092,"USP30-AS1"
"181",0.009303417,"100131755","ARMCX4",0.000989362386145391,"ARMCX4"
"182",0.081784552,"100131801","PET100",0.00488579699392469,"PET100"
"183",-0.04228496,"100131814","LINC00271",0.00112058361702136,"LINC00271"
"184",-0.068570712,"100131816","UBE2DNL",0.00327348833726036,"UBE2DNL"
"185",-0.081006478,"100131825","CADM3-AS1",0.004920000300742,"CADM3-AS1"
"186",0.156674295,"100131827","ZNF717",0.00249735862651891,"ZNF717"
"187",0.088379434,"100131897","INSYN2B",0.0146801828066603,"INSYN2B"
"188",-0.006029059,"100131998","RRN3P3",0.0096401943320147,"RRN3P3"
"189",-0.058190448,"100132057","LOC100132057",0.00178481972859958,"LOC100132057"
"190",0.005560589,"100132074","FOXO6",0.00618760292018907,"FOXO6"
"191",-0.019523297,"100132078","LOC100132078",0.0031112105196254,"LOC100132078"
"192",-0.044179596,"100132111","C2CD4D-AS1",0.00298536512605595,"C2CD4D-AS1"
"193",-0.099657592,"100132116","ACTA2-AS1",0.00180250740974472,"ACTA2-AS1"
"194",-0.013731361,"100132234","LINC00543",0.00322514957214274,"LINC00543"
"195",0.007036908,"100132341","CLUHP3",0.00139972369894499,"CLUHP3"
"196",-0.037859613,"100132354","LINC01512",0.0026250595946779,"LINC01512"
"197",0.008869922,"100132356","LOC100132356",0.0036603706148711,"LOC100132356"
"198",-0.029557119,"100132386","KRTAP4-9",0.00359253174667125,"KRTAP4-9"
"199",-0.216266205,"100132464","FAM99B",0.0150521129496115,"FAM99B"
"200",0.033730824,"100132476","KRTAP4-7",0.00102158541662595,"KRTAP4-7"
"201",-0.090019767,"100132570","LOC100132570",0.00323696646474129,"LOC100132570"
"202",-0.084900873,"100132596","XGY2",0.0024162756379241,"XGY2"
"203",-0.091692798,"100132618","ZRANB2-AS1",0.00398762449419977,"ZRANB2-AS1"
"204",0.003868087,"100132677","BSN-DT",0.00285012443280976,"BSN-DT"
"205",-0.067134472,"100132686","LOC100132686",0.00420072814337727,"LOC100132686"
"206",-0.017105156,"100132707","PAXIP1-AS2",0.00368527165447056,"PAXIP1-AS2"
"207",0.00301846,"100132735","FILNC1",0.000908796406906916,"FILNC1"
"208",0.059001941,"100132815","IPO5P1",0.00578229842085297,"IPO5P1"
"209",0.066891163,"100132891","MSC-AS1",0.00566428992893241,"MSC-AS1"
"210",-0.024963873,"100132987","LINC00856",0.00190389110494283,"LINC00856"
"211",-0.070417859,"100133190","ADIRF-AS1",0.00330754576609802,"ADIRF-AS1"
"212",-0.018815708,"100133205","LINC00240",0.0021481862734331,"LINC00240"
"213",-0.007481965,"100133308","RSU1P2",0.00127634662909724,"RSU1P2"
